ID,标签,标题                             ,问题                                                                                                                                                               ,答案                                                                                                                                                                                                                                                                                ,省份 ,年份
5 ,0 ,中澳班                            ,允许转出中澳班的时间以及需要达到的条件是什么？在中澳班中则必须3年后出国学习吗？                                                                                                                         ,无强制出国，可以直接本科毕业                                                                                                                                                                                                                                                                    ,广东 ,2021
6 ,0 ,招生章程                           ,老师好，招生章程中是不是除了有提及的身体特征有限报专业的情况（例如色弱色盲不能报的专业），其他没有提及的身体特征就可以报贵校所有专业？谢谢老师！                                                                                         ,是的                                                                                                                                                                                                                                                                                ,广东 ,2021
7 ,0 ,单科成绩要求                         ,您好，我已查阅招生章程，想确认一下，贵校是否没有单科成绩要求限制                                                                                                                                 ,无单科要求                                                                                                                                                                                                                                                                             ,广东 ,2021
8 ,0 ,转专业                            ,老师好，广东考生，想了解下，其他专业如果转入建筑学，是不是要多读一年，即共读6年，谢谢老师                                                                                                                    ,是的，需要降级                                                                                                                                                                                                                                                                           ,广东 ,2021
9 ,0 ,您好，请问低分若进档，服从调剂会有退档的风险吗，谢谢     ,如果计划没有满，服从调剂，会招收排位很低的学生吗                                                                                                                                         ,平行志愿符合录取不退档                                                                                                                                                                                                                                                                       ,广东 ,2021
10,0 ,预科                             ,请问你校少数民族预科班四川分数线是多少？                                                                                                                                             ,每年变化较大，最多优惠到录取线下80分内                                                                                                                                                                                                                                                              ,四川 ,2021
11,0 ,退档                             ,你好，请问在内蒙古提档比例是多少？提档后身体条件符合学校要求服从调剂是否承诺不退档？                                                                                                                       ,一般1:1                                                                                                                                                                                                                                                                             ,内蒙古,2021
12,0 ,录取                             ,山西考生理科614，位次2741，能报贵校的什么专业                                                                                                                                       ,可参照山西-2020年普通类高考录取分数统计http://admission.scut.edu.cn/2020/1027/c17520a406226/page.htm                                                                                                                                                                                               ,山西 ,2021
13,0 ,视力                             ,请问计算机类(计算机科学与技术、网络工程、信息安全)和自动化(创新班)和软件工程对视力有要求么                                                                                                                  ,已明确在华南理工大学2021年本科招生章程http://admission.scut.edu.cn/2021/0608/c17543a432351/page.htm                                                                                                                                                                                                ,辽宁 ,2021
14,0 ,1.专业级差2.退档                     ,1.请问有设置专业级差吗2.请问新高考无调剂是否会有因除体检以外的原因提档后被退档                                                                                                                        ,1无级差2.存在可能性                                                                                                                                                                                                                                                                       ,辽宁 ,2021
15,0 ,专项转专业                          ,请问通过国家专项进贵校的和普通批次的有什么区别？例如是否可以转专业                                                                                                                                ,针对群体不同都可以                                                                                                                                                                                                                                                                         ,安徽 ,2021
16,0 ,大类招生                           ,机械类里有车辆工程专业吗？云南考生628分，排2666名能有望被录取吗？                                                                                                                             ,入学一年后分专业                                                                                                                                                                                                                                                                          ,云南 ,2021
17,0 ,限报                             ,老师好，想报建筑学，有什么身体限制？风景园林又有什么身体限制？谢谢老师                                                                                                                              ,华南理工大学2021年本科招生章程http://admission.scut.edu.cn/2021/0608/c17543a432351/page.htm                                                                                                                                                                                                    ,广东 ,2021
18,0 ,专业及录取                          ,老师，您好，我是云南考生，我想问一下机械类里有车辆工程专业吗？628分，排名2666，报贵校有望被录取吗？                                                                                                            ,http://admission.scut.edu.cn/2020/1027/c17520a406374/page.htm云南-2020年普通类高考录取分数统计                                                                                                                                                                                                  ,云南 ,2021
19,0 ,转专业                            ,老师好，华工的建筑学院内的专业是不是不能互转？谢谢老师                                                                                                                                      ,不能                                                                                                                                                                                                                                                                                ,广东 ,2021
5 ,0 ,国家专项计划                         ,635有机会吗                                                                                                                                                          ,有机会                                                                                                                                                                                                                                                                               ,四川 ,2021
6 ,0 ,国家专项计划                         ,635，四川.6672名有机会吗？                                                                                                                                                ,有机会                                                                                                                                                                                                                                                                               ,四川 ,2021
7 ,0 ,招生电话                           ,河南招生老师的电话是多少？                                                                                                                                                    ,13016050071                                                                                                                                                                                                                                                                       ,河南 ,2021
8 ,0 ,报考录取                           ,您好，我是河南理科考生，今年649分，省排4630名，请问有把握冲击本校吗？对专业选择性大吗？                                                                                                                  ,建议报考河南-2020年普通类高考录取分数统计http://admission.scut.edu.cn/2020/1027/c17520a406100/page.htm                                                                                                                                                                                              ,河南 ,2021
9 ,0 ,录取                             ,河北考生，选考物理、化学、生物，排名6287，经管类专业录取机率大吗？另外贵校的保研率是多少？                                                                                                                  ,改革第一年，建议报考，保研率20%左右                                                                                                                                                                                                                                                               ,河北 ,2021
10,0 ,住宿                             ,请问贵校住宿条件怎么样                                                                                                                                                      ,4人间，独立卫浴为主                                                                                                                                                                                                                                                                        ,江苏 ,2021
11,0 ,新疆招生                           ,新疆，女，理科，595分，位次797，有希望被贵校录取吗                                                                                                                                     ,建议报考                                                                                                                                                                                                                                                                              ,新疆 ,2021
12,0 ,广东省2021年地方专项计划                 ,地方专项计划                                                                                                                                                           ,我校无地方专项                                                                                                                                                                                                                                                                           ,广东 ,2021
13,0 ,志愿填报问题                         ,湖南考生，623分，全省5088名，可以填报贵校什么专业？麻烦给个参考。能够冲击一下搏一搏的专业也可告知一下。                                                                                                          ,http://admission.scut.edu.cn/2021/0609/c17543a432607/page.htm华南理工大学2021年本科分省分专业计划（湖南）http://admission.scut.edu.cn/2020/1027/c17520a406122/page.htm湖南-2020年普通类高考录取分数统计                                                                                                             ,湖南 ,2021
14,0 ,广东考生有报高校专项计划志愿，物理类4万名有希望进入贵校吗  ,广东考生有报高校专项计划志愿，物理类4万名有希望进入贵校吗志愿是医学影像学                                                                                                                            ,每年浮动很大，建议报考                                                                                                                                                                                                                                                                       ,广东 ,2021
15,0 ,政策性加分                          ,所以贵校招生章程里说的专业以文化成绩为准是不包括政策性加分么                                                                                                                                   ,（二）加分政策的处理办法：承认各省级招生考试机构认定符合教育部加分政策的考生的投档成绩，最高加分不超过20分；安排专业志愿时以考生高考文化成绩为准。我校在录取时对获得各类政策性加分的考生不作累计加分。所有高考加分项目及分值不适用于不安排分省分专业招生计划的招生项目。                                                                                                                                             ,吉林 ,2021
