ID,标签,标题                            ,问题                                                                                                                                    ,答案                                                                                                                                                             ,省份 ,年份
5 ,0 ,咨询临床医学                        ,您好，黑龙江考生理科527分，排名11397，临床医学是否可以？                                                                                                      ,有难度，只能冲一下。                                                                                                                                                     ,黑龙江,2021
6 ,0 ,历史类                           ,广东深圳503分排位47818有机会冲一冲吗？                                                                                                               ,机会不大，慎重报考。                                                                                                                                                     ,广东 ,2021
7 ,0 ,协同培养                          ,请问在贵校的协同培养中发的毕业证是贵校的吗？如果采用协调培养可以考研吗                                                                                                   ,毕业证由我校发放，跟普通类专业是一样的，可以考研。                                                                                                                                      ,广东 ,2021
8 ,0 ,单列                            ,你好老师，我女儿是新疆单列类的高考分数352分位次3617名报考你们学校一本有望吗？新疆预科班具体是什么可以介绍一下吗老师                                                                         ,2020年新疆预科单列类最低录取分数404分，平均分为415分，仅供参考。预科生第一年要先新疆师范大学读完一年预科，然后根据预科成绩和高考成绩把学生分到医学检验技术、护理学、预防医学、药学、信息管理与信息五个专业。                                                    ,新疆 ,2021
9 ,0 ,辽宁考生                          ,请问贵校有保研资格吗                                                                                                                            ,我校暂无保研资格。                                                                                                                                                      ,辽宁 ,2021
10,0 ,广东医科大学录取问题                    ,我的排位是52922能被贵校临床医学录取吗？                                                                                                                ,有机会但不太稳，预测在5万名左右。                                                                                                                                              ,广东 ,2021
11,0 ,录取希望                          ,你好，本人分数556，排名63256，亲问报考贵校的儿科学专业录取希望大吗                                                                                                 ,有难度，只能冲一下。我校201专业组全是热门医学专业                                                                                                                                     ,广东 ,2021
12,0 ,视力要求                          ,请问矫正视力在5，镜片度数在450~500之间，其他正常，能报生物医学工程专业吗？                                                                                             ,生物医学工程专业只限不招色盲色弱，跟视力无关。                                                                                                                                        ,湖南 ,2021
13,0 ,录取                            ,老师您好，我是福建历史倾向的考生，分数500，省排名18831，请问有希望被本校录取吗？                                                                                          ,这排位可能在上线边缘，我校在福建是1:1投档，建议报考冲一下。                                                                                                                                ,福建 ,2021
14,0 ,广东物理类                         ,545分，排位75431，能录取吗？                                                                                                                    ,我校202、203、204专业组，除康复治疗学、法医学、医学检验技术之外，其他专业都有机会录取。                                                                                                               ,广东 ,2021
15,0 ,地方专项                          ,地方专项教师，户籍是要符合实施30个县才能报的吗？如清远市，茂名市这些人不可而以报吗？                                                                                           ,我校没有地方专项教师招生计划。                                                                                                                                                ,广东 ,2021
16,0 ,新疆单列，理科，351分可以录取吗             ,我昨天咨询过，你们问我是不是预科班，我问的是预科班，如果可以录取，预科完了，你们分配什么专业                                                                                        ,预科班共医学检验技术、护理学、预防医学、药学、信息管理与信息系统几个专业，根据学生高考成绩和预科成绩分专业。                                                                                                         ,新疆 ,2021
17,0 ,录取                            ,老师：您好！我是一名广东文科（历史+政治+化学，安徽金寨农村户口）考生的家长，孩子高考未考好，总分：521，省排：34866，想优报贵校口腔医学，有机会吗？希望抽时回复，谢谢！                                              ,没有机会，口腔医学只招物理类考生。                                                                                                                                              ,广东 ,2021
5 ,0 ,录取                            ,广东历史类考生484排名62826被贵校录取的概率大吗                                                                                                           ,应该进不了，我校历史类最低约4万名左右。                                                                                                                                           ,广东 ,2021
6 ,0 ,报考                            ,你好，我是广东省历史系学生，排名三万七，被您校录取的可能性大吗？有专业推荐吗？                                                                                               ,录取机率比较大，我校207组除应用心理学，其他专业都有机会。                                                                                                                                 ,广东 ,2021
7 ,0 ,录取                            ,吉林文科477吉林省排位7296报考贵校有希望吗                                                                                                              ,录取机率比较大，建议报考。                                                                                                                                                  ,吉林 ,2021
8 ,0 ,咨询录取情况                        ,老师您好，广东考生，历史类选科化学/政治，508分44060排名，是否有机会就读贵校。                                                                                           ,上线我校可能性比较小，慎重报考。                                                                                                                                               ,广东 ,2021
9 ,0 ,咨询                            ,广东医科大学与广东食品药品职业学院协同培养，毕业证是否和正常的专业一样？是否可以正常考研？                                                                                         ,毕业证一样，可以考研。                                                                                                                                                    ,广东 ,2021
10,0 ,录取                            ,你好广东历史考生省排三万八左右能冲一下吗而且看到今年学校历史类有扩招                                                                                                    ,我校207组有机会录取，欢迎报考。                                                                                                                                              ,广东 ,2021
11,0 ,广东理科生                         ,选科物理化学生物的考生总分510，排位12万，能进入贵校的临床医学，中药，药学和康复治疗技术等等专业么                                                                                   ,临床医学，中药，药学和康复治疗技术等专业录取可能性非常小。                                                                                                                                  ,江西 ,2021
12,0 ,广东历生地                         ,排位4w3能冲上广医的护理学或者预防医学的概率多少                                                                                                             ,历史4w3上线我校所有专业可能性不大。                                                                                                                                            ,广东 ,2021
13,0 ,广东历化生                         ,广东历化生，成绩525，排位32969，想报贵校的医学检验技术专业，因为上年是理科的，排位没法参照，请问有机会录取该专业吗                                                                         ,第一年历史，分数不好预测，医学检验技术专业可能有一定难度，但该组的其他专业也是非常热门的医技类专业，欢迎报考。                                                                                                        ,广东 ,2021
14,0 ,地方专项                          ,如果选了地方专项到定点工作后再考研会不会很难                                                                                                                ,地方专项毕业后不需要到定点地方工作，卫生专项才需要到定向就业，考研需提前跟定向单位协商。                                                                                                                   ,广东 ,2021
15,0 ,色弱                            ,右眼裸眼视力4.4，彩色图案及彩色数码检查正常，医师意见专业受限，这种属于色盲色弱吗？                                                                                           ,彩色图案及彩色数码检查正常就不属于色盲色弱。                                                                                                                                         ,江西 ,2021
16,0 ,广东历史类                         ,我排名28698，531分可以上广东医科大吗？                                                                                                               ,平行志愿，建议报考哈，看看历史类的那几个专业，都不错。                                                                                                                                    ,广东 ,2021
17,0 ,地方专项                          ,想知道往年贵校的地方专项录取分数线                                                                                                                     ,你好，请在微信小程序搜索“广东医招生”，点进去录取分数栏目，就可以看到，谢谢。                                                                                                                        ,广东 ,2021
