ID,标签,标题                            ,问题                                                                                                                                                            ,答案                                                                                                                                                                                                                                                             ,省份 ,年份
5 ,0 ,录取                            ,广东物理类考生，总分581，省排37936，请问有机会被贵校外国语言文学专业录取吗？                                                                                                                    ,有机会                                                                                                                                                                                                                                                            ,广东 ,2021
6 ,0 ,录取咨询                          ,请问河南文科考生596分排名7782上贵校学经济学专业可能性大吗                                                                                                                              ,大胆填报，有机会                                                                                                                                                                                                                                                       ,山东 ,2021
7 ,0 ,招生计划                          ,请问今年贵校对江苏有招生人数吗                                                                                                                                               ,https://zsb.gdut.edu.cn/xxcx/zsjh1/js.htm江苏2021计划                                                                                                                                                                                                              ,江苏 ,2021
8 ,0 ,录取                            ,请问贵校录取控制分数线是多少是1:1投档还是1:1.2投档后会被退档吗                                                                                                                           ,1比1，服从调剂不退档                                                                                                                                                                                                                                                    ,广东 ,2021
9 ,0 ,录取                            ,473文史类湖南的能否录取                                                                                                                                                 ,参考去年录取分数https://zsb.gdut.edu.cn/xxcx/wnlq1/a2020nlqqk/hn.htm                                                                                                                                                                                                   ,湖南 ,2021
10,0 ,录取                            ,物理类考生528分是否有机会进入揭阳校区                                                                                                                                          ,第一年招生，大胆冲                                                                                                                                                                                                                                                      ,广东 ,2021
11,0 ,中外合作                          ,选科：物理，518分，排位109393，有多大概率录取？谢谢！                                                                                                                               ,大胆冲，有机会。                                                                                                                                                                                                                                                       ,广东 ,2021
12,0 ,录取                            ,你好我想请问贵州文科596分位次在3493有机会报考贵校吗                                                                                                                                 ,https://zsb.gdut.edu.cn/xxcx/wnlq1/a2020nlqqk/gz.htm参考去年录取情况                                                                                                                                                                                                   ,贵州 ,2021
13,0 ,中外合作办学                        ,中外合作项目如果不出国学习，成绩合作，毕业证书是否和广工其它专业毕业证书一样？                                                                                                                       ,https://zsb.gdut.edu.cn/info/1143/2951.htm 毕业证都是广工的，一样的。                                                                                                                                                                                                       ,广东 ,2021
14,0 ,录取                            ,你好我想请问贵州文科596分位次在3493有机会报考贵校吗                                                                                                                                 ,https://zsb.gdut.edu.cn/xxcx/wnlq1/a2019nlqqk/gz.htm参考去年录取情况                                                                                                                                                                                                   ,贵州 ,2021
15,0 ,专本同读                          ,问一下贵校有开设专科吗？专本同读                                                                                                                                              ,没有专科计划                                                                                                                                                                                                                                                         ,广东 ,2021
16,0 ,录取                            ,广东物理考生，538分能冲贵校吗？                                                                                                                                             ,排名是多少？全最低录取排名53000左右。可以考虑揭阳校区和国际班                                                                                                                                                                                                                              ,广东 ,2021
17,0 ,揭阳校区                          ,揭阳校区的分数排位是参照本校的吗？                                                                                                                                             ,广州各校区代码11845 揭阳校区代码80003分数排位不一样的                                                                                                                                                                                                                               ,广东 ,2021
18,0 ,中外合作办学                        ,中外合作办学大致国内外各几年，学费多少                                                                                                                                           ,https://zsb.gdut.edu.cn/info/1143/2951.htm                                                                                                                                                                                                                     ,广东 ,2021
5 ,0 ,录取                            ,老师好！广东省物理类567分，排位51139，有机会录取贵校吗？谢谢！                                                                                                                           ,有机会，不过专业不要挑太热门的，勾选服从调剂                                                                                                                                                                                                                                         ,广东 ,2021
6 ,0 ,专业服从调剂后被分配到自己不喜欢的专业，怎么办？      ,尊敬的老师您好，我是一名高考生的家长，我家孩子非常喜欢计算机，也准备报考贵校，但是他担心会被调剂到其他专业，如果不服从调剂，就可能会被退档，那该怎么办呢？                                                                                 ,这个没办法，计算机去年录取最低排名30000左右。如果要挑专业，可以考虑揭阳校区和国际班                                                                                                                                                                                                                   ,广东 ,2021
7 ,0 ,揭阳分校毕业证问题？                    ,你好，请问广工揭阳分校，四年学业完成毕业，毕业证书跟广工本部的毕业证书是否一致？                                                                                                                      ,一样的，揭阳校区也是广东工业大学                                                                                                                                                                                                                                               ,广东 ,2021
8 ,0 ,录取                            ,老师你好，我是广东理科考生，排位29800+，有望录上计算机专业吗？                                                                                                                            ,按去年的情况可以压线进。今年不好说                                                                                                                                                                                                                                              ,广东 ,2021
9 ,0 ,招生要求                          ,你好，请问你是计算机专业有没有什么体检要求呢？                                                                                                                                       ,计算机不招单设识别不全者                                                                                                                                                                                                                                                   ,广东 ,2021
10,0 ,中外合作                          ,你好，请问物理13w+有机会去贵校的中外合作就读吗？                                                                                                                                    ,大胆冲。今年只有国际班。没有动画班                                                                                                                                                                                                                                              ,广东 ,2021
11,0 ,投档                            ,请问贵校是按照1:1投档吗？                                                                                                                                                ,是的，平行志愿都是1：1                                                                                                                                                                                                                                                   ,广东 ,2021
12,0 ,专业组                           ,你们专业组录取是平行录取的吗                                                                                                                                                ,平行志愿                                                                                                                                                                                                                                                           ,广东 ,2021
13,0 ,揭阳校区                          ,请问揭阳校区在辽宁招生吗？代码是多少？                                                                                                                                           ,揭阳校区不在辽宁招生。广州的对辽宁找，代码请看辽宁的招生目录。我这里没有                                                                                                                                                                                                                           ,辽宁 ,2021
14,0 ,广东历史考生                        ,请问历史排名7万6，揭阳校区录取大吗                                                                                                                                            ,历史7w多机会不大，冲一下国际班吧                                                                                                                                                                                                                                              ,广东 ,2021
15,0 ,录取                            ,广东物理类考生555分排名64122能上贵校吗                                                                                                                                       ,按我校往年录取最低排位看，你的这个排位属于“冲”。我校今年的206专业组，有化学科目要求，符合条件的同学相对少一些，我校的揭阳校区，单列代码80003首年招生，关注的同学可能少一些，你无妨试一下这两个院校专业组。                                                                                                                                                     ,广东 ,2021
16,0 ,揭阳校区                          ,揭阳校区是否可能变成揭阳理工学院                                                                                                                                              ,广工揭阳校区是广东工业大学的组成部分，毕业生颁发的是广东工业大学的学位证、毕业证，和广工其他校区的证书是一样的。                                                                                                                                                                                                       ,广东 ,2021
17,0 ,录取                            ,广东考生，物理类总分581，省排37936，请问有机会被贵校翻译专业录取吗？                                                                                                                        ,你好。翻译专业是按大类招生的，安排在外国语言类。该大类2020年的录取最低排位51710                                                                                                                                                                                                                   ,广东 ,2021
18,0 ,新疆单列类（报考民语文）                  ,您好，我是新疆单列类（选考民语文）的考生。分数为319，超了一本线15分，全疆排名1340。能报考贵校吗，报考后有希望录取吗？                                                                                               ,去年我校南疆单列类的录取最低分为347，超过一批线（333）14分，平行志愿，主要合理安排了保底的院校志愿，可以报考。                                                                                                                                                                                                    ,新疆 ,2021
5 ,0 ,录取                            ,老师，您好，广东考生美术专业，523分，排名3244，上贵校有机会吗？谢谢老师                                                                                                                       ,机会非常大。去年我校录取最低排位为3659，招生计划没有变化。                                                                                                                                                                                                                                ,广东 ,2021
6 ,0 ,美术专业                          ,美术专业，523，排名3244，有多少成机会能上贵校                                                                                                                                    ,机会很大                                                                                                                                                                                                                                                           ,广东 ,2021
7 ,0 ,地方专项                          ,请问地方专项分数要多少？我是广东物理考生，排位126159有希望进专项计划？急！！                                                                                                                     ,如果符合地方专项报考资格，可以冲报。按往年录取统计看，机会偏小。                                                                                                                                                                                                                               ,广东 ,2021
8 ,0 ,揭阳校区                          ,请问贵校的揭阳校区的代码是不是80003                                                                                                                                          ,是的                                                                                                                                                                                                                                                             ,广东 ,2021
9 ,0 ,揭阳校区                          ,请问如果揭阳校区跟其他校区同一个专业，那是不是学习的东西都是一样的，师资也是一样的，没有区别对待的叭                                                                                                            ,没有区别，就是广工一个校区。只是为了区分地理位置所以用了2个代码。                                                                                                                                                                                                                              ,广东 ,2021
10,0 ,双学位                           ,请问自动化/机械类可以修双学位吗？                                                                                                                                             ,请参考我校今年的辅修通知  根据教学计划的安排，学校将在2021年秋季学期开设2020级辅修专业。现将报名有关事项通知如下：    一、辅修专业设置：    工商管理、信息管理与信息系统、计算机科学与技术、金融工程（科技金融方向）、英语五个专业。    二、申请条件：    1、一年级所修读主要课程无不及格课程，平均学分绩点在2.5（含...[详细]                                                                               ,广东 ,2021
11,0 ,录取                            ,广东物理546分，排位73000多，有没机会录取                                                                                                                                      ,https://zsb.gdut.edu.cn/xxcx/wnlq1/a2020nlqqk.htm请参照去年录取情况。                                                                                                                                                                                                    ,广东 ,2021
