ID,标签,标题                            ,问题                                                                                                                                                  ,答案                                                                                                                                                  ,省份,年份
5 ,0 ,老师，你好，我想问一下贵校201专业组大二是在广州哪个校区的,老师，你好，我想问一下贵校201专业组大二是在广州哪个校区的                                                                                                                      ,广州校区共有4个，具体根据当年学校实际安排。                                                                                                                              ,广东,2021
6 ,0 ,报考问题                          ,可不可以第一、第二志愿同时报考贵校，报考不同专业组？                                                                                                                          ,可以，谢谢                                                                                                                                               ,广东,2021
7 ,0 ,协调培养                          ,请问贵校与深圳职业技术学院的协同培养，最后毕业证上是本科学历吗？                                                                                                                    ,本科学历。                                                                                                                                               ,广东,2021
8 ,0 ,录取                            ,您好，请问贵校的志愿填报时显示出来的“非聚居或外省少数民族考生”是什么意思，是不是本省的学生（汉族）不可以填报，望答复，谢谢。                                                                                     ,少数民族学生是针对广东省的少数民族学生，但是需要是聚居地的少数民族考生。                                                                                                                ,广东,2021
9 ,0 ,录取                            ,您好！我是广东物理类，513分，排位116630，请问报汉语言文学专业录取的可能性大吗？，谢谢！                                                                                                    ,考生，你好！请参考我校往年录取分数线，http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢                                                                                 ,广东,2021
10,0 ,协同培养                          ,金融学(应用技术类，与广州番禺职业技术学院协同培养)应该怎理解？是发贵校的毕业证吗？                                                                                                          ,金融学(应用技术类，与广州番禺职业技术学院协同培养)，全部四年在广州番禺职业技术学院读书，毕业证由我校颁发。                                                                                              ,广东,2021
11,0 ,专业录取                          ,广东历史考生554排名一万七报考该校英语师范专业机会大吗？该校英语师范专业教学资源如何？该专业考研率高吗？（官方只给出平均值）该校对成绩优异者有何特殊奖励政策？若想成为该校大学教授需要哪个级别的学历要求？谢谢                                            ,考生，你好！填报志愿可以参考2021年高考填报指南（里面含2020年我校各专业录取最低排位），英语师范专业师资水平可查看我校外国语学院官方网站了解，谢谢                                                                        ,广东,2021
12,0 ,民族生                           ,去年贵校理科法学招生的最低分数514，排名是91700左右，这个是包括民族生吗？                                                                                                            ,考生，你好！请参考我校往年录取分数线（http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm），谢谢                                                                                ,广东,2021
13,0 ,广东考生咨询                        ,广东考生，排名85230左右，可以报考贵校法学专业吗？把握大吗？                                                                                                                    ,考生，你好！请参考2021年高考志愿填报指南或者是查看我校往年录取分数线（http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm），谢谢                                                              ,广东,2021
14,0 ,请问贵校的计算机类第二学年专业分流是如何分流的？      ,请问贵校的计算机类第二学年专业分流是如何分流的？                                                                                                                            ,大二分流标准：根据学生分流时所填报专业志愿，然后再按照学生专业分流前的学业成绩进行由高到低排序进行。                                                                                                  ,广东,2021
