ID,标签,标题                            ,问题                                                                                                                                             ,答案                                                                                                                                                                          ,省份 ,年份
5 ,0 ,转专业                           ,请问从其他专业转到计算机科学与技术难？                                                                                                                            ,您好。转专业是有一定条件的，具体按照《广东海洋大学全日制本科学生转专业管理规定》执行，请咨询我校的教务处（登录广东海洋大学官网--机构设置--教务处）。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                        ,广东 ,2021
6 ,0 ,录取                            ,广东文科考生484排名62826被贵校录取的概率大吗                                                                                                                     ,您好。今年的生源未知，无法判断，2020年我校的文科最低录取分数排位为3.5万。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                            ,广东 ,2021
7 ,0 ,报考                            ,您好，我是日语考生，请问贵校能不能用日语二三级代替英语的选修呢？贵校有没有硬性规定要拿到英语四六级才能拿到毕业证呢？                                                                                     ,您好。请咨询我校的教务处（登录广东海洋大学官网--机构设置--教务处）。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                                ,广东 ,2021
8 ,0 ,地理位置                          ,想知道贵校音乐学院在哪个校区                                                                                                                                 ,您好。音乐学专业在湖光校区。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                                                      ,广东 ,2021
9 ,0 ,您好                            ,您好，我是高考日语考生，请问贵校能不能用日语成绩代替选修外语的成绩呢？还有有没有硬性规定要英语四六级才能拿到毕业证呢？                                                                                    ,您好。请咨询我校的教务处（登录广东海洋大学官网--机构设置--教务处）。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                                ,广东 ,2021
10,0 ,录取                            ,您好，我是梅州考生，请问2021年理科520分，选科是政治，生物。排位106817准能有幸被贵校录取吗？能选择哪些热门专业呢？                                                                                ,您好。今年的生源未知，无法判断，根据历年的录取数据，建议填报我校。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                                   ,广东 ,2021
11,0 ,录取                            ,你好，请问一下广东物理科517分排位11万有望被贵校录取吗？提档后，服从调剂，会被退档的吗？谢谢                                                                                               ,您好。今年的生源未知，无法判断，根据历年的录取数据，建议填报我校。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                                   ,广东 ,2021
12,0 ,录取                            ,请问一下湖南考试文科两万一千左右(过一本线)有希望录取汉语言专业吗你们的提档比是多少                                                                                                     ,您好。今年的生源未知，无法判断，您可查阅我校历年数据进行参考。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                                     ,湖南 ,2021
13,0 ,录取                            ,广东物理考生，排位126159，能进贵校吗？急！                                                                                                                       ,您好。今年的生源未知，无法判断，根据历年的录取数据，建议填报冲一冲。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                                  ,广东 ,2021
14,0 ,录取                            ,我是广东历史类的考生，成绩512分，排位41212，请问我有机会被贵校录取吗？                                                                                                        ,您好。今年的生源未知，无法判断，2020年我校的文科最低录取分数排位为3.5万，建议您填报冲一冲。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！                                                   ,广东 ,2021
