ID,标签,标题                           ,问题                                                                                                                                                                               ,答案                                                                                                                                                  ,省份,年份
5 ,0 ,调档                           ,被贵校提档后，要是服从调剂会有被退档的风险吗？                                                                                                                                                          ,请阅读我校招生章程                                                                                                                                           ,广东,2021
6 ,0 ,退档                           ,贵校有无承诺进档不退档                                                                                                                                                                      ,考生需服从调剂，并符合调剂专业的体检要求等                                                                                                                               ,广东,2021
7 ,0 ,录取                           ,老师：您好！我是一名广东文科（历史+政治+化学，安徽金寨农村户口）考生的家长，孩子高考未考好，总分：521，省排：34866，想报贵校，有机会吗？希望抽时回复，谢谢！                                                                                              ,可参考往年排位                                                                                                                                             ,广东,2021
8 ,0 ,报考问题                         ,请问地方专项计划今年属于那个批次                                                                                                                                                                 ,本科批次                                                                                                                                                ,广东,2021
9 ,0 ,排名                           ,老师，您好！请问2021年排名大约为多少的物理类考生可以冲报贵校?                                                                                                                                                ,可参考往年排位                                                                                                                                             ,广东,2021
10,0 ,分数线                          ,请问有2020年各专业分省份的录取分数线吗，官网上找不到分专业的                                                                                                                                                 ,可关注广州中医药大学招生办微信公众号                                                                                                                                  ,北京,2021
11,0 ,录取                           ,江苏物化生组合513分，排名72000，报考03专业组希望大吗                                                                                                                                                  ,可参考往年排位                                                                                                                                             ,江苏,2021
12,0 ,咨询                           ,请问一下，排位在29637填报贵校的中医学地方专项被录取的概率大吗                                                                                                                                                ,可参考往年排位                                                                                                                                             ,广东,2021
13,0 ,专业                           ,老师您好！我是广东历史类考生我想咨询下：倘若我以英语学专业进入贵校，大学期间，是否可以转专业至中医学？感谢老师！                                                                                                                         ,今年无英语专业招生                                                                                                                                           ,广东,2021
14,0 ,地方专项                         ,想知道贵校往年地方专项的录取分数线                                                                                                                                                                ,可关注广州中医药大学招生办微信公众号了解信息                                                                                                                              ,广东,2021
5 ,0 ,中医养生学                        ,中医养生学能考医师执业证吗？                                                                                                                                                                   ,可以                                                                                                                                                  ,广东,2021
