ID  ,问题                                                                                                                                                                    ,答案
1   ,请问美术生报考有什么限制条件吗                                                                                                                                                       ,"没有特别的限制
"
2   ,新疆考生3800名有希望被贵校录取吗？                                                                                                                                                   ,"可以考虑大胆冲报的。
"
3   ,请问广东排3115可以报吗                                                                                                                                                         ,"今年专业组多，可以大胆冲报。
"
4   ,河北物理14272能上贵校吗？贵校的电科，光电，物联网，网络空间安全怎么选最好                                                                                                                               ,"建议结合个人兴趣填报专业，该名次有机会上暨大哦。
"
5   ,请问番禺校区和深圳校区的商务英语专业除了学费上的不同外还有什么不同吗                                                                                                                                    ,"办学地点不一样，都是一样的暨大文凭。
"
6   ,广东省历史类考生排名多少可以报考贵校                                                                                                                                                    ,"建议您参考往年排位，3500位以上都可以大胆冲报的
"
7   ,广东理科排名19431有机会入暨南大学吗                                                                                                                                                  ,"今年分了专业组，可以大胆冲报哦。机会很大。
"
8   ,请向广东理科15503排位能进入贵校的什么专业？                                                                                                                                              ,"大部分专业都可以挑选了哦，尤其分了专业组后，有更大选择空间哦
"
9   ,您好，贵校今天在河北普通类有招生计划吗                                                                                                                                                   ,"有的，放在本科一批，可在我校网站浏览。
"
10  ,河南理科考生分数612位次18358，有希望上贵校吗？                                                                                                                                           ,"可以考虑冲报哦，而且我校还有几个类别在河南招生，欢迎报考。
"
11  ,老师好，若报考了贵校，又被调剂到全英语教学的专业，但是由于家庭原因，无法支付学费，又不想通过绿色通道等途径，是否可以在开学前申请调到相同专业的非全英语教学？                                                                                        ,"调剂是无条件的，虽然我们会尽力避免。
"
12  ,2021新疆理科，位次2326，能上暨南大学吗？谢谢了。                                                                                                                                          ,"你好，平行志愿可以考虑大胆冲报的哦。
"
13  ,老师您好！请问一下广东考生物理组的排名23290能进贵校报读计算机科学与技术或者软件工程吗？谢谢🙏                                                                                                                    ,"你好，按照往年来说机会不是特别大，但是平行志愿可以考虑尝试。
"
14  ,广东历史类考生599排3388服从专业调剂，报考希望大嘛                                                                                                                                          ,"可以报考的，服从调剂达到录取要求，是不退档的
"
15  ,江苏考生物理类580分，位次17000，报考贵校新闻类和工商管理类有希望吗？报考贵校志愿有要求吗？需要第一志愿报考吗                                                                                                            ,"这个排位报考成功几率不是特别大哦。考虑冲报可以
"
16  ,在国家专项计划和本科一批同时选择暨南大学会有什么冲突吗                                                                                                                                           ,"没有冲突
"
17  ,你好，请问咱们学校分数线最低的理工专业是哪一个？谢谢                                                                                                                                            ,"具体您查看我校网站有公布的
"
18  ,贵校的专业调剂是不是在对各省的招生计划内调剂？                                                                                                                                               ,"是的
"
19  ,调档后会被退档吗                                                                                                                                                              ,"服从调剂，达到要求，不会退
"
20  ,河南国家专项分数线                                                                                                                                                             ,"请查阅我办网站公布的往年数据
"
21  ,云南617分，（含民族加分）排名在4107，能不能报贵校，专业认可民族加分吗                                                                                                                                ,"认可20分以内的加分
"
22  ,河北考生，物政地组合，578分，24508名，可以报考贵校吗？有希望被录取吗？                                                                                                                               ,"按照往年数据，希望不算大，建议冲报
"
23  ,请问宁夏文科排名506能录上吗？                                                                                                                                                      ,"可以大胆报哦。机会大
"
24  ,请问广东艺术类考生在贵校的普通类专业所在批次录取控制分数线是多少？                                                                                                                                     ,"普通类本科线
"
25  ,贵州理科排名7957可以报贵校的临床医学专业吗                                                                                                                                               ,"可以考虑冲报的哦，机会是有的
"
26  ,请问老师，专业评级(ABCDE)将来就业时，有参考价值吗？谢谢！                                                                                                                                      ,"有的，好的专业就业相对也好
"
27  ,总分最低录取分数线是多少？                                                                                                                                                         ,"请参考招生办网站往年数据
"
28  ,老师，您好！我是四川理科男生，位次4万。我知道这位次是低，但报着冲一冲的心态，很想报暨南大学。想请问老师：贵校对服从调剂的同学是依什么条件依次调剂到什么专业？最后面那个专业是什么？谢谢老师！🙏🏻                                                                   ,"无条件调剂
"
29  ,贵州理科排名7957能报贵校临床医学专业吗                                                                                                                                                 ,"可以考虑大胆冲报哦，合理搭配各个专业志愿
"
30  ,预科班多少分可以上？学费一年多少钱？预科班考不上会怎么样？预科班招多少人？                                                                                                                                 ,"不针对国内
"
31  ,四川理工类超一本线63是否有机会进暨南大学中外合作？如果服从调剂是否会退档？                                                                                                                                ,"请参考往年分数，同时确保数学、英语单科符合要求。服从调剂不退
"
32  ,请问河北的考生物地生科目，河北位次24508，能上贵校的建筑学或者口腔医学专业吗？                                                                                                                             ,"希望不大哦
"
33  ,请问贵校转专业条件                                                                                                                                                             ,"学年成绩排名靠前的可以申请
"
34  ,老师，您好！我是四川理科考生，621分报考贵校国家专项临床医学把握多大？贵校的学生宿舍怎样？在招生网没找到近三年录取专业数据。谢谢！                                                                                                    ,"公布了去年的专业录取数据，请自行查看。宿舍条件是4-6人间，有空调。
"
35  ,广东物理类位次24817可读吗                                                                                                                                                       ,"可以考虑冲报的哦，多个专业组
"
36  ,河南理科613排名17797可以报考贵校哪些专业                                                                                                                                              ,"专业选择不是太多，建议冲报学校
"
37  ,请问报考戏文，是不是要统考193，文化分548，两个分数达到才能报？                                                                                                                                    ,"是的，文化和艺术都必须过线
"
