ID,标签,问题,答案
0,0,您好！我是新疆单列类（选考民族语文）的考生。分数为328分，超了一本线24分，全疆排名994。能报考贵校吗？报考后有希望考上吗？,http://admission.sysu.edu.cn/zs01/zs01c/fs03/1390308.htm可参考我校民族班历年录取分数。
1,0,您好我是西藏自治区高考596排名163，报名国家专项的生物医学有机会录取吗,http://admission.sysu.edu.cn/zs01/zs01c/fs02/1390307.htm可参考我校历年录取分数，欢迎报考
2,0,理科596分2818名能否报考贵校？可能性大吗？,“中大招生”微信小程序，有今年招生计划、历年录取分数、贵州招生组招宣行程和联系方式，可深入沟通了解。
3,0,这里是上海考生，贵校01专业组招历史学类，备注中写道“人文实验班，分流专业详见招生官网。历史学专业”。官网上，历史学类的分流有历史学、汉语言文学、哲学等，但上面提到的备注中写“历史学专业”，是不是上海学生进校学习后必须学历史学专业，不能参与分流？或者说，能不能分流到汉语言...[详细],上海目录只是代表专业，分流专业以中大本科招生网公布为准，包含历史学、汉语言文学、哲学等。所有人文实验班录取的考生，分流专业一致。
4,0,历史学专业，外国语言专业，法学类专业对单科成绩有要求吗？,没有
5,0,今年文科新增的计划（历史学）是新开的专业吗？怎么培养,不是新增专业。我校2021年实行大类招生和集中培养，大一新生在古朴优美的广州校区南校园（康乐园）学习生活，感受百年中大的精神底蕴和文化传统。大一末根据学生意愿，结合高考和学业成绩进行专业分流，再到相应的院系进行培养。
6,0,山西文科考生，高考分数608，全省位次597～627，被录取可能性怎么样,“中大招生”微信小程序，有今年招生计划、历年录取分数、山西招生组招宣行程和联系方式，可深入沟通了解。
7,0,是按照报考志愿分流，还是入学之后按照高考成绩分流，还是要校考分流？,外国语言文学类专业入校后即分流。高考高分有保障：高考成绩位于大类内本省前15%的学生可在大类内任选专业。其他学生看综合：根据高考外语成绩+专业分流考核成绩，结合专业分流志愿，进行专业分流。专业分流考核学生英语综合水平。
8,0,文科招生人数相比2020，2021是不是增加了？,增加了
9,0,请问贵校在三个校区的计算机专业有何不同之处？,分流专业不同，详细请看本科招生网，http://admission.sysu.edu.cn/zs01a/1390482.htm
10,0,老师您好，我是河南考生，我的分数如果够中山大学的最低分，但是不够计算机类专业的分数，我不服从调剂，这样的情况退档吗？是退到这六个平行志愿的下一个学校，还是直接滑到本科二批了？,直接到本科二批
11,0,请问海洋试验班是划分到哪一个专业组？招生专业目录上没有。,只在高校专项计划招生。
12,0,老师您好！我是西藏汉族理科生，有国家专项，分数593，排172，请问有机会进贵校吗？,http://admission.sysu.edu.cn/zs01/zs01c/fs02/1390307.htm可参考历年录取分数，欢迎报考我校
13,0,服从调剂，谢谢您,“中大招生”微信小程序，有今年招生计划、历年录取分数、山西招生组招宣行程和联系方式，可深入沟通了解。
14,0,我想问一下深圳校区的临床五年可以转到广州校区的临床五年吗,临床医学不接受转专业
15,0,如果我只选填报了经济学类和法学类两个专业，并不服从调剂，那轮到我时，这两个专业都没空位了，而这专业组的其他专业还有空位，那我是被贵校提档并退档，还是系统继续检索我所填报的下一个专业组？,如果不服从调剂，会退档。然后只能去参加征集志愿或者到专科批次的录取。
16,0,湖北物理639位次4405可以吗,“中大招生”微信小程序，有今年招生计划、历年录取分数、湖北招生组招宣行程和联系方式，可深入沟通了解。
17,0,广东理工考生：有轻度色觉异常（色弱）和某单色误识，可报贵校专业组202（含计算机类、经济类、数学类、物理类共6大类）吗？若可报，服从调剂，调档后会被退档吗?谢谢！,可以报。服从调剂不退档
18,0,河南省排名7791有可能报考化学专业吗,“中大招生”微信小程序，有今年招生计划、历年录取分数、河南招生组招宣行程和联系方式，可深入沟通了解。
19,0,老师，您好！请问贵校在广东省2021年普通高等学校招生专业目录中的专业组202（015、016、017、018、019、020）的分流专业有视力限制吗？麻烦您能帮我解答一下吗？,不受限
20,0,广东考生：中山大学今年按专业组大类招生，有的专业组和大类里部分大类或专业对色弱与单色识别有限制，有些无限制，若服从调剂，提档后会不会因此而可能退档（服从调剂）?谢谢！,临床医学（8年制）、临床医学类（广州）、临床医学类（深圳）、护理学、生医工实验班，今年我校只有以上4个大类色盲色弱受限，其他都不限。
21,0,请问外国语学院专业毕业生去向是？保研率有多少呢？,“中大招生”微信小程序，院系介绍，可查看院系介绍和联系电话。
22,0,请问黑龙江理科位次960能进贵校的经济学专业吗？分流是什么意思呢？谢谢！,“中大招生”微信小程序，有今年招生计划、历年录取分数、黑龙江招生组招宣行程和联系方式，可深入沟通了解。
