ID,标签,标题                                ,问题                                                                                                                                                     ,答案                                                                                                                                                                                           ,省份 ,年份
5 ,0 ,专业                                ,老师你好，请问贵校历史学专业如何                                                                                                                                       ,https://zsb.scau.edu.cn/zyjs/list.htm，可以查询我校各专业介绍                                                                                                                                            ,广东 ,2021
6 ,0 ,录取                                ,广东考生文科560排名13969有机会录上贵校历史学吗                                                                                                                            ,有机会，建议第一志愿填报我校                                                                                                                                                                               ,广东 ,2021
7 ,0 ,转专业                               ,请问贵校转专业具体要求是什么样的，是否有可能从地方专项计划的生物技术转到汉语言文学                                                                                                              ,可以申请转专业，详情查看https://zsb.scau.edu.cn/gkzxjd/2020/0706/c11207a244360/page.htm                                                                                                                  ,广东 ,2021
8 ,0 ,录取                                ,老师您好，我是今年的广东历史类考生，分数552排名17351，服从调剂有机会被贵校录取吗？                                                                                                          ,有机会，建议第一志愿填报                                                                                                                                                                                 ,广东 ,2021
9 ,0 ,录取                                ,广东考生物理类，高考分数562，排名55961，有机会录取到汉语言文学专业或者是英语专业吗？                                                                                                         ,有机会，建议第一志愿填报214专业组，填满6个专业，然后专业服从调剂                                                                                                                                                           ,广东 ,2021
10,0 ,中外合作办学                            ,湖南全理科考生，总分525，排名58840，填中外合作办学录取希望大吗？对外语语种有限制吗？麻烦推荐一下有希望的专业。（请直接告知有希望或不建议填报，谢谢）                                                                         ,建议第一志愿报考中外合作办学专业合作方为英语教学建议非英语语种考生慎重报考                                                                                                                                                        ,湖南 ,2021
11,0 ,湖南考生                              ,湖南全理科考生，总分525，排名58840，对外语语种有限制吗？麻烦推荐一下专业（请直接告知有希望或不建议填报，谢谢）                                                                                            ,建议报考中外合作办学专业                                                                                                                                                                                 ,湖南 ,2021
12,0 ,中外合作                              ,湖南全理科考生，总分525，排名58840，填中外合作办学录取希望大吗？对外语语种有限制吗？麻烦推荐一下有希望的专业。（请直接告知有希望或不建议填报，谢谢）                                                                         ,建议非语音语种考生慎重报考，合作方是英语教学。可以第一志愿冲一下                                                                                                                                                             ,湖南 ,2021
13,0 ,中外合作                              ,中外合作项目毕业证书和其它专业毕业证书是否一样？                                                                                                                               ,一样盖华农公章，也可致电国际学院电话：020-85280035国际班咨询qq群号：1031595707                                                                                                                                          ,广东 ,2021
14,0 ,中外合作                              ,中外合作项目因个人原因不能出国学习如何处理？选科物理，518分，录取概率多高？                                                                                                                ,国际学院电话：85280035国际班咨询qq群号：1031595707                                                                                                                                                          ,广东 ,2021
15,0 ,录取                                ,广东考生物理类545，排位74830如果不考虑中外合办和国际班，录取的可能性大吗                                                                                                               ,建议提前批报考我校种子科学与工程专业，本科批次前两个志愿报考我校291和294这两个专业组                                                                                                                                                ,广东 ,2021
16,0 ,录取                                ,你好，本人分数556，排名63256，报考贵校，生物科学专业录取希望大吗                                                                                                                   ,请复制链接https://zsb.scau.edu.cn/gkzxjd/，选择相应视频观看，可以回复相关问题                                                                                                                                       ,广东 ,2021
5 ,0 ,录取                                ,"你好，本人广东历史考生，总分562，排名13,228名，能否被贵校的英语专业录取？"                                                                                                            ,有机会                                                                                                                                                                                          ,广东 ,2021
6 ,0 ,录取。                               ,我是一名物生地的广东考生，81237名，540分。请问能被贵校录取吗                                                                                                                     ,建议提前批报我校种子科学与工程专业，本科批次在前两个志愿冲一下我校291和294这两个农科专业组，然后在第三到第五志愿报我校中外合作专业或者国际班专业。中外合作办学或国际班专业非常有机会录取                                                                                              ,广东 ,2021
7 ,0 ,录取                                ,老师您好。广东考生、物理类545，排位75432，能录取吗？                                                                                                                         ,建议提前批报我校种子科学与工程专业，本科批次在前两个志愿冲一下我校291和294这两个农科专业组，然后在第三到第五志愿报我校中外合作专业或者国际班专业。中外合作办学或国际班专业非常有机会录取                                                                                              ,广东 ,2021
8 ,0 ,老师你好，我是今年的广东考生，分数564排名54044       ,请问贵校今年有扩招吗？我被贵校的数学与信息学院录取的几率大吗？还有在贵校转专业是不是需要重读大一？                                                                                                      ,有机会。转专业是否重读大一，根据已修课程情况决定                                                                                                                                                                     ,广东 ,2021
9 ,0 ,湖南考生想来华农                          ,"总分522，排位61003,可以冲什么专业"                                                                                                                                ,建议提前批报我校种子科学与工程专业，本科批次在前两个志愿冲一下我校291和294这两个农科专业组，然后在第三到第五志愿报我校中外合作专业或者国际班专业。中外合作办学或国际班专业非常有机会录取                                                                                              ,广东 ,2021
10,0 ,录取，专业                             ,广东历史类565分排位12253能进贵校吗？如果可以，可以进英语专业吗？                                                                                                                   ,有机会，建议第一志愿填报我校                                                                                                                                                                               ,广东 ,2021
11,0 ,退档                                ,贵校有无承诺进档不退档                                                                                                                                            ,身体条件符合要求，且考生专业服从调剂，进档我校后，我校不会退档                                                                                                                                                              ,广东 ,2021
12,0 ,录取                                ,老师您好！广东历史大类11962名能上汉语言文学吗，谢谢                                                                                                                           ,有机会                                                                                                                                                                                          ,广东 ,2021
13,0 ,提问                                ,请问分数561，排位13589，录取的几率大吗？                                                                                                                               ,有机会，建议第一志愿填报                                                                                                                                                                                 ,广东 ,2021
