ID,标签,标题                              ,问题                                                                                                                                                       ,答案                                                                                                                                                                                          ,省份 ,年份
5 ,0 ,报考咨询                            ,贵校在提前批和普通类均有招生，请问有什么不同吗，是二者能报考的学科不同吗，哪一个优势更大一些？                                                                                                          ,您好，2021年我校在提前批次招生计划为公费定向粤东粤西粤北教师专项，具体请查看2021年的招生计划。https://zsb.scnu.edu.cn/a/20210625/475.html                                                                                              ,广东 ,2021
6 ,0 ,提前批                             ,请问贵校今年在湖北有提前批计划吗？具体是什么？                                                                                                                                  ,无                                                                                                                                                                                           ,湖北 ,2021
7 ,0 ,第一次招录                           ,请问211院校组的137.147是第一次招录吗？                                                                                                                                 ,您好，我校专业组211的137和147分别为心理学师范和物理学师范专业，非第一次招录。具体录取情况，请参考https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                 ,广东 ,2021
8 ,0 ,投档和退档                           ,老师，我只考了音乐表演（器乐）专业，没考音乐学。如果贵校这个专业组的音乐学有空位，但音乐表演（器乐）没有空位，会投档吗？                                                                                             ,您好，音乐表演（器乐）和音乐学属于两个专业组，若填报音乐表演器乐类，不会被调剂到音乐学。                                                                                                                                                ,广东 ,2021
9 ,0 ,教师专项                            ,请问教师专项合约6年到期后可以继续留在当地任教吗？                                                                                                                                ,你好，教师专项毕业生的服务期限为不少于6年，6年后可以继续留在当地任教，具体需要与地方教育局协商。                                                                                                                                           ,广东 ,2021
10,0 ,关于退档                            ,老师，我的统考是音乐表演-器乐，没考音乐学。如果服从调剂，进档后器乐专业人满，会被退档，还是会调剂到同一个专业组的音乐学专业？                                                                                          ,您好，音乐表演（器乐）和音乐学属于两个不同的专业组，若投档音乐表演（器乐）不会被调剂到音乐学专业。                                                                                                                                           ,广东 ,2021
11,0 ,定向师范生（教师专项），填报志愿时提前批没有此项        ,考生高考分数普通类（历史）538分，想报考华师的定向师范生（教师专项），但在填报志愿时，提前批没有看到“提前批本科.教师专项。只有1.提前批本科.空军招飞，2.提前批本科.军检院校（含）公安，3.提前批专科。不知什么原因，一直没能成功填报，一直想咨询如何才能成功填报，今天一直在打电...[详细]     ,我们广东省所有批次在此时段报考：第二时段：6月28日19:00-7月3日16:00。除第一时段填报的院校专业组志愿外的其他所有各批次、各科类（普通类、艺体类等）院校专业组志愿，均需在本时段填报并进行网上确认志愿信息。                                                                                ,广东 ,2021
12,0 ,提档和转专业                          ,服从调剂的考生被提档后还会被退档吗？能否从非师范类专业转到师范类专业，转专业难不难？                                                                                                               ,考生所填的专业志愿都未被录取时，如服从专业调剂，按考生投档总分从高到低作调剂录取到招生计划有空额且符合计划相关专业要招生要求的专业录取。转专业请上我校教务处网站查阅。                                                                                                         ,贵州 ,2021
13,0 ,小语种                             ,老师，我是高考日语考生，咱们学校是否可以用日语代替英语冲抵学分？（非日语专业）                                                                                                                  ,您好，我校公共外语教学为英语，非英语语种考生需慎重报考。                                                                                                                                                                ,山西 ,2021
14,0 ,教师专项                            ,请问教师专项定向到镇，是指那一个镇内可以自由选择学校，还是说连学校都分配好了?                                                                                                                  ,您好，教师专项计划具体请查阅《华南师范大学招收高中起点公费定向培养粤东粤西粤北地区中小学教师专项计划招生办法》，https://zsb.scnu.edu.cn/a/20200519/417.html                                                                                         ,广东 ,2021
5 ,0 ,师范类和非师范类问题                      ,请问贵校师范类和非师范类的专业组哪个分数和排位要求会更高呢？                                                                                                                           ,您好，具体请查询往年录取情况。https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                                                       ,广东 ,2021
6 ,0 ,公共课                             ,广东考生，物理558，排位60191，外语学的是日语，报考贵校教师专项，如果有机会录取了，公共课能否申请日语代替英语，申请有没有什么条件，谢谢                                                                                  ,您好，我校的公共外语教学为英语，非英语语种考生需慎重报考。                                                                                                                                                               ,广东 ,2021
7 ,0 ,问                               ,广东历史类考生，排位733o位，报贵校师范类有希望录取吗？                                                                                                                            ,您好，请查询往年的录取情况。https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                                                        ,广东 ,2021
8 ,0 ,您好！请问你们的特殊教育是专项的吗？普通本科能报？       ,您好！请问你们的特殊教育是专项的吗？普通本科能报？                                                                                                                                ,不是，特殊教育专业是本科批次的普通师范专业。                                                                                                                                                                      ,广东 ,2021
9 ,0 ,专业录取                            ,请问广东考生587，省排5683有望报考贵校新闻系吗，若调剂是否是同一学院                                                                                                                    ,录取情况请参考https://zsb.scnu.edu.cn/zhiyuancankao/；服从调剂是指服从所在院校专业组的调剂，不同院校专业组之间的专业不会互相调剂。当考生填报的六个专业志愿都未被录取时，我校不再跟学生联系，直接把服从调剂的考生调剂到招生计划仍有缺额的专业。                                                  ,广东 ,2021
10,0 ,特殊教育专业是普通招生还是提前批专项招生？           ,特殊教育专业是普通招生还是提前批专项招生？                                                                                                                                    ,您好，特殊教育专业是普通招生。                                                                                                                                                                             ,广东 ,2021
11,0 ,教师专项提前批                         ,你好，我是广东考生，如果我提前批教师专项报两个学校，但第一个学校没录到我，那么是轮到我报的第二个学校还是转到本科批                                                                                                ,您好，我校今年录取原则为“分数优先，遵循志愿”，不设置专业级差。                                                                                                                                                            ,广东 ,2021
12,0 ,录取概率                            ,广东理科考生成绩是571排位47131填报地方专项被录取的概率多高？                                                                                                                       ,请参考往年录取情况https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                                                             ,广东 ,2021
13,0 ,调档比例                            ,贵校今年的调档比例是多少？如果没有服从调剂会有退档风险吗？                                                                                                                            ,您好，平行志愿调档比例为1:1，若考生不服从调剂的，或服从调剂但是不符合计划有空额专业相关要求的，做退档处理。                                                                                                                                     ,广东 ,2021
14,0 ,教师专项                            ,文史类排名23748进贵校的教师专项机会大吗？还有教师专项计划志愿填报只能填一个院校专业组吗？                                                                                                          ,教师专项计划，可填报10个平行志愿录取情况请参考https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                                              ,广东 ,2021
5 ,0 ,就读教师专项期间可以应征入伍吗                 ,你好，请问在就读教师专项期间可以响应国家号召应征入伍吗？                                                                                                                             ,根据广东省教育厅相关文件（见http://jyj.gz.gov.cn/yw/tzgg/content/post_5819369.html），公费定向培养对象如因身体健康、应征入伍等特殊原因，经培养院校和计划来源地确定取消公费定向培养资格的，由所在高校按照国家有关规定负责调整和处理。目前第一位从教师专项专业入伍的同学还未退伍...[详细]                   ,广东 ,2021
6 ,0 ,调档比例是一比一还是超过一比一                 ,如果是超过一比一，且服从调剂。在第一志愿被调档后但没有被录取，是先被调剂还是先录取第二志愿                                                                                                            ,您好，平行志愿调档比例为1:1，被调档后，若考生服从专业调剂，按考生投档总分从高到低作调剂录取到招生计划有空额且符合相关专业要求的专业录取。                                                                                                                      ,广东 ,2021
7 ,0 ,教师专项计划                          ,你好，我想问一下，汕尾的教师专项计划要进行提前的资格申请吗，还是到志愿填报开放直接进行填报就行。                                                                                                         ,您好，志愿填报开放直接进行填报就行。我们广东省所有批次在此时段报考：第二时段：6月28日19:00-7月3日16:00。                                                                                                                                ,广东 ,2021
8 ,0 ,录取                              ,文科历史类565分排位12253，能进贵校吗？                                                                                                                                  ,您好，如有意报考我校，可根据自己的高考成绩和兴趣爱好，结合我校近三年的最低投档排位填报志愿。具体请参考https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                   ,广东 ,2021
9 ,0 ,请问文科排位9093冲冷门专业成功的可能大吗？         ,请问文科排位9093冲得到的可能大吗？                                                                                                                                      ,您好，具体请参考往年的录取情况。https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                                                      ,广东 ,2021
10,0 ,定向师范生                           ,定向师范生在大学四年学习什么?(小学教育)                                                                                                                                    ,请咨询汕尾校区，电话：0660-3390065                                                                                                                                                                     ,广东 ,2021
11,0 ,关于志愿                            ,在2021年广东夏季高考，如果投档进了某一个学校（投档分够了），但是专业分不够会怎么样（假设所有专业分都不够会怎么样）？请解答，谢谢！                                                                                      ,您好，当考生填报的六个专业志愿都未被录取时，我校不再跟学生联系，直接把服从调剂的考生调剂到招生计划仍有缺额的专业。                                                                                                                                   ,广东 ,2021
12,0 ,今年汉语言文学有非师范类的吗                  ,今年汉语言文学有非师范类的吗                                                                                                                                           ,您好，具体的招生计划请参考https://zsb.scnu.edu.cn/a/20210625/475.html                                                                                                                                    ,广东 ,2021
13,0 ,公共课                             ,广东考生，物理558，排位60191，外语学的是日语，报考贵校教师专项，如果有机会录取了，公共课能否申请日语代替英语，申请有没有什么条件，谢谢                                                                                  ,本校公共外语教学为英语，非英语语种考生需慎重报考。                                                                                                                                                                   ,广东 ,2021
14,0 ,投档                              ,请问贵校会因低分退档吗？                                                                                                                                             ,您好，考生不服从调剂的，或服从调剂但是不符合计划有空额专业相关要求的，做退档处理。                                                                                                                                                   ,广东 ,2021
5 ,0 ,老师您好！请问广东考生排名23290名能报读贵校的计算机科学  ,老师您好！请问广东考生排名23290名能报读贵校的计算机科学与技术吗？或者是软件工程，谢谢🙏                                                                                                          ,您好，请参考往年录取情况https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                                                          ,广东 ,2021
6 ,0 ,录取                              ,广东省考生省排18700能否进入贵校的英语师范类专业                                                                                                                               ,您好，请参考往年录取情况。https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                                                         ,广东 ,2021
7 ,0 ,师范类专业能转师范类专业吗？                  ,入学时是化学专业，第二个学期可以申请数学吗？                                                                                                                                   ,您好，入学后的第二学期，学生可根据自己的兴趣爱好进行转专业，入学后如申请转专业只限在本院校专业组的招生专业间进行。                                                                                                                                   ,广东 ,2021
8 ,0 ,转专业                             ,转专业的时间是什么时候                                                                                                                                              ,您好，入学后的每学年的第二学期，学生可根据自己的兴趣爱好，在师范与非师范各专业申请互转。                                                                                                                                                ,广东 ,2021
9 ,0 ,转专业                             ,非师范专业能否转进非师范专业                                                                                                                                           ,您好，入学后的第二学期，学生可根据自己的兴趣爱好，在师范与非师范各专业申请互转，入学后申请转专业只限在本院校专业组的招生专业间进行。                                                                                                                          ,广东 ,2021
10,0 ,转专业                             ,转专业的相关要求是什么                                                                                                                                              ,您好，具体转专业的要求可在我校的教务处网页进行查询。                                                                                                                                                                  ,广东 ,2021
11,0 ,教师专项                            ,请问没有提前报名教师专项现在还能不能填报此志愿？                                                                                                                                 ,我们广东省所有批次在此时段报考：第二时段：6月28日19:00-7月3日16:00。除第一时段填报的院校专业组志愿外的其他所有各批次、各科类（普通类、艺体类等）院校专业组志愿，均需在本时段填报并进行网上确认志愿信息。                                                                                ,广东 ,2021
12,0 ,华师汕尾区                           ,您好，我想问一下华师汕尾区今年在广东是只招提前批的教师专项吗？                                                                                                                          ,招生专业请参考https://zsb.scnu.edu.cn/zyjj/                                                                                                                                                        ,广东 ,2021
13,0 ,教师专项                            ,老师您好，我是广东考生，首选历史531分，想填报华师的教师专项，我已经看过华师和教育局有关文件，但仍有很多疑问。请问我这个分数填报有没有必要？是需要自学考研吗？6年后是否能回广州教初中或者高中？                                                        ,合约6年，6年后自主择业往年录取分数请参考https://zsb.scnu.edu.cn/zhiyuancankao/                                                                                                                                 ,广东 ,2021
14,0 ,华南师范大学汕尾校区                      ,请问华师汕尾校区现在建设程度如何？基础设施完善吗？交通便利吗？                                                                                                                          ,请咨询汕尾校区0660-3390065                                                                                                                                                                         ,广东 ,2021
5 ,0 ,专科录取问题                          ,老师您好！深圳历史409分排位132690，报考本校专科录取希望大吗？谢谢！                                                                                                                   ,我校没有专科                                                                                                                                                                                      ,广东 ,2021
6 ,0 ,安徽报考                            ,安徽612分9810名，报考贵校能录取么，贵校转专业容易么                                                                                                                            ,您好，如有意报考我校，可根据自己的高考成绩和兴趣爱好，结合我校近三年的最低投档排位填报志愿。具体请参考https://zsb.scnu.edu.cn/zhiyuancankao/。我校新生（除艺术类、高水平运动队、运动训练、单独院校代码招生中外合作、中外联合培养专业等特殊类外）入学后第二学期，也可按自己的兴...[详细]                           ,安徽 ,2021
7 ,0 ,录取                              ,历史类597分排名1430在贵校的分录取概率大吗，服从调剂会被退档吗，什么专业有学科分数要求？                                                                                                          ,您好，如有意报考我校，可根据自己的高考成绩和兴趣爱好，结合我校近三年的最低投档排位填报志愿。具体请参考https://zsb.scnu.edu.cn/zhiyuancankao/。考生若服从调剂，但是不符合计划有空额专业相关专业要求的，做退档处理。专业没有学科分数要求。                                                     ,福建 ,2021
8 ,0 ,录取                              ,贵校的体育教育专业招收物理类考生吗                                                                                                                                        ,您好，若有意报考我校，具体招生计划可参考https://zsb.scnu.edu.cn/zhaoshengjihua/                                                                                                                                 ,广东 ,2021
