ID,标签,问题,答案
0,0,允许转出中澳班的时间以及需要达到的条件是什么？在中澳班中则必须3年后出国学习吗？,无强制出国，可以直接本科毕业
1,0,老师好，招生章程中是不是除了有提及的身体特征有限报专业的情况（例如色弱色盲不能报的专业），其他没有提及的身体特征就可以报贵校所有专业？谢谢老师！,是的
2,0,您好，我已查阅招生章程，想确认一下，贵校是否没有单科成绩要求限制,无单科要求
3,0,老师好，广东考生，想了解下，其他专业如果转入建筑学，是不是要多读一年，即共读6年，谢谢老师,是的，需要降级
4,0,如果计划没有满，服从调剂，会招收排位很低的学生吗,平行志愿符合录取不退档
5,0,请问你校少数民族预科班四川分数线是多少？,每年变化较大，最多优惠到录取线下80分内
6,0,你好，请问在内蒙古提档比例是多少？提档后身体条件符合学校要求服从调剂是否承诺不退档？,一般1:1
7,0,山西考生理科614，位次2741，能报贵校的什么专业,可参照山西-2020年普通类高考录取分数统计http://admission.scut.edu.cn/2020/1027/c17520a406226/page.htm
8,0,请问计算机类(计算机科学与技术、网络工程、信息安全)和自动化(创新班)和软件工程对视力有要求么,已明确在华南理工大学2021年本科招生章程http://admission.scut.edu.cn/2021/0608/c17543a432351/page.htm
9,0,1.请问有设置专业级差吗2.请问新高考无调剂是否会有因除体检以外的原因提档后被退档,1无级差2.存在可能性
10,0,请问通过国家专项进贵校的和普通批次的有什么区别？例如是否可以转专业,针对群体不同都可以
11,0,机械类里有车辆工程专业吗？云南考生628分，排2666名能有望被录取吗？,入学一年后分专业
12,0,老师好，想报建筑学，有什么身体限制？风景园林又有什么身体限制？谢谢老师,华南理工大学2021年本科招生章程http://admission.scut.edu.cn/2021/0608/c17543a432351/page.htm
13,0,老师，您好，我是云南考生，我想问一下机械类里有车辆工程专业吗？628分，排名2666，报贵校有望被录取吗？,http://admission.scut.edu.cn/2020/1027/c17520a406374/page.htm云南-2020年普通类高考录取分数统计
14,0,老师好，华工的建筑学院内的专业是不是不能互转？谢谢老师,不能
15,0,635有机会吗,有机会
16,0,635，四川.6672名有机会吗？,有机会
17,0,河南招生老师的电话是多少？,13016050071
18,0,您好，我是河南理科考生，今年649分，省排4630名，请问有把握冲击本校吗？对专业选择性大吗？,建议报考河南-2020年普通类高考录取分数统计http://admission.scut.edu.cn/2020/1027/c17520a406100/page.htm
19,0,河北考生，选考物理、化学、生物，排名6287，经管类专业录取机率大吗？另外贵校的保研率是多少？,改革第一年，建议报考，保研率20%左右
20,0,请问贵校住宿条件怎么样,4人间，独立卫浴为主
21,0,新疆，女，理科，595分，位次797，有希望被贵校录取吗,建议报考
22,0,地方专项计划,我校无地方专项
23,0,湖南考生，623分，全省5088名，可以填报贵校什么专业？麻烦给个参考。能够冲击一下搏一搏的专业也可告知一下。,http://admission.scut.edu.cn/2021/0609/c17543a432607/page.htm华南理工大学2021年本科分省分专业计划（湖南）http://admission.scut.edu.cn/2020/1027/c17520a406122/page.htm湖南-2020年普通类高考录取分数统计
24,0,广东考生有报高校专项计划志愿，物理类4万名有希望进入贵校吗志愿是医学影像学,每年浮动很大，建议报考
25,0,所以贵校招生章程里说的专业以文化成绩为准是不包括政策性加分么,（二）加分政策的处理办法：承认各省级招生考试机构认定符合教育部加分政策的考生的投档成绩，最高加分不超过20分；安排专业志愿时以考生高考文化成绩为准。我校在录取时对获得各类政策性加分的考生不作累计加分。所有高考加分项目及分值不适用于不安排分省分专业招生计划的招生项目。
26,0,化学类，化学工程与制药，轻工类有什么身体限制吗看了招生简章但是不是很确定,限制色盲色弱
27,0,陕西理科602分，4662位次，能报贵校的人工智能吗？如果不行，能报哪些专业？,参照上年度录取分数http://admission.scut.edu.cn/2020/1027/c17520a406234/page.htm
28,0,高校专项计划初审通过，分数达到一本线就可以在提前一批报了么,http://admission.scut.edu.cn/2021/0411/c17748a425246/page.htm华南理工大学2021年高校专项“筑梦计划”招生简章
29,0,老师您好。我是江西考生。我的高考成绩是629，排名为3049，是否有机会报考华南理工，能报考什么专业呢？,http://admission.scut.edu.cn/2021/0608/c17543a432447/page.htm华南理工大学2021年本科分省分专业计划（江西）
30,0,您好，请问贵校数学系对高考数学分数有什么要求,没有
31,0,老师好，请问贵校的院校专业组和对应学科要求可以在哪里查询？,华南理工大学招生办网站http://admission.scut.edu.cn/2021/0612/c17543a432968/page.htm
32,0,请问既往病史青斑样血管炎，症状脚部皮肤损伤，对入读贵校有影响吗？,身体健康状况要求：原则上执行教育部、卫生部、中国残疾人联合会颁发的《普通高等学校招生体检工作指导意见》和人力资源和社会保障部、教育部、卫生部《关于进一步规范入学和就业体检项目维护乙肝表面抗原携带者入学和就业权利的通知》等有关要求，体检不合格者不予录取。新生入学后进行体检复查（色...[详细]
33,0,请问甘肃理科高考575，省排名2926，能否通过本科提前批B段被贵校录取？,http://admission.scut.edu.cn/2020/0811/c17520a391643/page.htm参考上年分数看看
34,0,老师，您好！我想咨询一下贵校的传播学2+2联合培养班具体是怎样的培养模式？,http://admission.scut.edu.cn/2021/0616/c17525a433222/page.htm华南理工大学2021年本科招生资讯册
35,0,报了专业之后才发现身体条件不允许但是填了遵循调剂，最后是直接退档还是志愿调剂,不同批次要求不同http://admission.scut.edu.cn/2021/0608/c17543a432351/page.htm详细阅读简章
36,0,专业认不认民族加分,（二）加分政策的处理办法：承认各省级招生考试机构认定符合教育部加分政策的考生的投档成绩，最高加分不超过20分；安排专业志愿时以考生高考文化成绩为准。我校在录取时对获得各类政策性加分的考生不作累计加分。所有高考加分项目及分值不适用于不安排分省分专业招生计划的招生项目。
37,0,想问一下贵校提档比例是1:1吗？进校后可以转专业吗？如果转专业需要什么条件吗？,http://admission.scut.edu.cn/2021/0113/c17747a419033/page.htm华南理工大学2021年艺术学院本科招生简章
38,0,您好！请问如果身体健康状况属于不宜就读的情况（高度近视，其余均正常），在分数达线的情况下能否被贵校临床医学专业录取？谢谢。,http://admission.scut.edu.cn/2021/0608/c17543a432351/page.htm华南理工大学2021年本科招生章程临床医学不招色盲色弱
39,0,您好，请问计算机大类招生的，1、在校读几年划分小专业；2、小专业是按成绩高低划分还是随机划分；3、毕业证以后写的是计算机大类专业还是小专业。,http://admission.scut.edu.cn/2021/0616/c17525a433222/page.htm请详细阅读资讯册中计算机学院部分
