ID,标签,标题                                      ,问题                                                                                                                                                          ,答案                                                                                                                                                                                                                                    ,省份 ,年份
5 ,0 ,录取                                      ,老师您好，我是今年的广东历史类考生，分数552排名17351，服从调剂有机会被贵校录取吗？                                                                                                               ,建议冲下                                                                                                                                                                                                                                  ,广东 ,2021
6 ,0 ,问题                                      ,请问贵校可以专插本吗                                                                                                                                                  ,没有                                                                                                                                                                                                                                    ,广东 ,2021
7 ,0 ,江苏理科物化生，高考558分，可以报考贵校哪些专业？              ,江苏理科物化生，高考558分，可以报考贵校哪些专业？                                                                                                                                  ,建议重点考虑四年制专业                                                                                                                                                                                                                           ,江苏 ,2021
8 ,0 ,地方专项                                    ,本人广东省排名三万五，想通过地方专项进入贵校，请问报什么专业的地方专项比较合适？另外，地方专项毕业后会被定向至什么地区？                                                                                                ,大胆填报，毕业没有限制                                                                                                                                                                                                                           ,广东 ,2021
9 ,0 ,录取                                      ,湖南物理617裸分，6545名有希望进003，004专业吗                                                                                                                               ,有希望试试                                                                                                                                                                                                                                 ,湖南 ,2021
10,0 ,卓越创新班                                   ,老师你好，请问贵校临床医学卓越创新班保研率是多少？另外，我是湖北考生，临床医学请问是在第一临床医院学习还是在第二临床医院学习。谢谢                                                                                           ,50%，一临、二临随机分配                                                                                                                                                                                                                         ,湖北 ,2021
11,0 ,专科批                                     ,老师好，广东考生选科为物理政治地理排位23万左右。有望被贵校录取吗？                                                                                                                          ,希望小                                                                                                                                                                                                                                   ,广东 ,2021
12,0 ,能否被录取                                   ,山西考生，582，排名7637，有没有希望被贵校的临床医学专业录取                                                                                                                           ,有机会                                                                                                                                                                                                                                   ,山西 ,2021
13,0 ,被录取的概率高低                                ,广东理科考生57147131被录取的概率高吗填报哪个专业比较稳可以是地方专项                                                                                                                      ,机会大，大胆填报                                                                                                                                                                                                                              ,广东 ,2021
14,0 ,录取                                      ,你好老师，西藏312名理科有机会被贵校录取吗？                                                                                                                                     ,有机会                                                                                                                                                                                                                                   ,西藏 ,2021
15,0 ,转专业                                     ,请问进校后能转专业吗？如果可以请问有哪些要求                                                                                                                                      ,有2次机会，分别在大一大二第二学期，具体到我校教务处网站查询                                                                                                                                                                                                        ,广东 ,2021
16,0 ,报考                                      ,老师好！湖北理工类考生601位次15971，有机会报考贵校吗？                                                                                                                             ,高考改革第一年，可以试试                                                                                                                                                                                                                          ,湖北 ,2021
17,0 ,录取                                      ,广东历史类考生451，排位92733被贵校护理专科专业录取机会大嘛？                                                                                                                          ,有机会                                                                                                                                                                                                                                   ,广东 ,2021
18,0 ,提档后会被退档吗？                               ,提档后是否会因为专业已经招收够人而退档？                                                                                                                                        ,不会，除非身体原因                                                                                                                                                                                                                             ,广东 ,2021
19,0 ,专科招生                                    ,本人历史考生，排位6w4，有机会报考贵校专科专业吗？                                                                                                                                  ,可以                                                                                                                                                                                                                                    ,广东 ,2021
