ID,标签,标题                 ,问题                                                                                                        ,答案                                                                                                                                ,省份,年份
5 ,0 ,招生                 ,贵校今年在湖北如何招生？                                                                                              ,你好！按照综合评价录取模式招生，详见我校招生章程。                                                                                                         ,湖北,2021
6 ,0 ,录取                 ,想问下湖南考生物理方向52658000名靠左服从调剂能被贵校录取吗                                                                         ,您好！我校按照综合评价方式在湖南招生，批次为提前批。从历年录取情况来看，单高考成绩的话，要高出一本线很多的。                                                                            ,湖南,2021
7 ,0 ,招生                 ,本校今年会在海南招生吗                                                                                               ,您好！我校今年第一次在海南进行招生，批次为提前批，按照综合评价模式进行招生。                                                                                            ,广西,2021
8 ,0 ,分数线与志愿填报           ,发现南科时已经过了提前批的时间，所以还有希望填报吗？非提前批志愿指南和招生简章都找不到（我真的想成为一名suster），另外，今年的分数线是多少呢？如果可以投档的话是全收后再进行筛选吗？综合评价能测还来得及补吗？,你好！我校在广东提前批（非军检类）和特殊类型招生（综合评价<仅限综评入围的学生填报，综评报名、测试已经结束>）有招生计划的，除此之外，在别的批次没有投放招生计划的。                                                ,广东,2020
9 ,0 ,选专业                ,考生入学不分专业，后来自己选择的专业，是否是贵校所有专业都供选择？                                                                         ,是的                                                                                                                                ,广东,2020
10,0 ,提前批专业录取            ,贵校提前批物理学中按照综合评价招生，河北省怎么招。                                                                                 ,按照综合评价招生，考生需要提前报名参加我校组织的能力测试，并通过面试。详细的可以查看我校2020年招生章程。                                                                            ,河北,2020
11,0 ,提前录取               ,直至今日没有收到贵校电话，是不是就是综合评价录取没有希望了？北京考生                                                                        ,你好！我校在北京是综合评价招生，通过我校初审并获得能力测试面试资格后，才能填报我校。最终填报志愿结束后，在高考录取时，按照综合成绩才能确定是否录取。                                                        ,北京,2020
12,0 ,报考                 ,河南考生超过一本线多少分，能上贵校，它是我的向往，终于对河南招生了，是我最爱的专业                                                                 ,你好！南方科技大学历年都在河南通过综合评价方式招生的。如果报考我校的话，需要提前参加报名我校组织的能力测试，并获得面试资格，最终按照综合成绩择优录取。                                                       ,河南,2020
13,0 ,分数线                ,请问一下河南理科621分提前批有可能会被录取吗                                                                                   ,你好！我校在河南是按照综合评模式招生录取的，学生综合成绩由高考成绩、我校能力测试成绩、学生高中平时成绩组成，最终按照综合成绩择优录取。如果前期参加我校的能力测试和面试，成绩不错的情况下，按照去年的情况，你的成绩还是有希望的。                  ,河南,2020
14,0 ,河南                 ,河南的考生可以报吗                                                                                                 ,你好！我校在河南是综合评价招生的，如果报考的话，前期需要参加并通过我校组织的能力测试。                                                                                       ,河南,2020
0 ,0 ,南科大今年招收河南考生吗       ,您好我是河南理科考生，分数668，位次3845想知道今年贵校是否在河南招收学生，如果招收，我能不能报考贵校                                                     ,你好！在河南历年都是按照综合评价方式招生的，考生需要提前报名参加并通过我校组织的能力测试。如果前期没有报名并通过的话，是不可以报考的。                                                               ,河南,2020
1 ,0 ,志愿                 ,您好，我是湖南理科生515分，想第一志愿填报贵校，但不知几率多大                                                                          ,你好！其我校在湖南是综合评价招生的，前期需要参加并通过我校的能力测试。                                                                                               ,湖南,2020
2 ,0 ,关于是否在河南招生          ,我想知道咱们2020年在河南招生吗？                                                                                        ,你好！南科大历年都是在河南招生的。                                                                                                                 ,河南,2020
3 ,0 ,广西理科一本线上114分读贵校有希望吗,广西理科一本线上114分读贵校有希望吗？我没有参加贵校前期报名和考试，能补救吗？                                                                  ,你好！我校2020年在广西是综合评价招生的，如果没有参加我校组织的测试的话，是不可以报名的，                                                                                    ,广西,2020
4 ,0 ,请问贵校的测试时间及方式？      ,请问贵校的测试时间及方式？                                                                                             ,我校的测试分为机试和面试，时间为6月16日，具体可以查看南方科技大学2019年综合评价招生能力测试通知http://zs.sustc.edu.cn/a/zhaoshengdongtai/20190603/1697.html                   ,重庆,2019
5 ,0 ,广东理科，650分          ,请问今年广东有统招生吗？人数和分数怎么样呢？谢谢！                                                                                 ,你好！我校今年第一次在广东有提前批（非军事类）招生，即统招录取，可以在此批次中填报。                                                                                        ,广东,2019
6 ,0 ,您好，河北的学生可以报考吗？     ,您好，河北的学生可以报考吗？                                                                                            ,你好！我校2019年在河北是综合评价录取招生的，，考生需要提前报名参加我校组织能力测试的详见南方科技大学2019年综合评价招生实施办法http://zs.sustc.edu.cn/zszc/zhangcheng/2019/0319/1649.html。    ,河北,2019
7 ,0 ,关于在贵州的提前批。         ,请问在贵州的学生报提前批有什么条件？                                                                                        ,你好！我校是综合评价录取招生的，学生报考前期需要参加我校的资格审核和能力测试，批次为提前批。详细你可以查看南方科技大学2018年普通高校招生章程http://zs.sustc.edu.cn/zszc/zhangcheng/2018/0612/1562.html,贵州,2018
8 ,0 ,贵州考生可以报考么。         ,我校招生仅限已参加我校自主能力测试的高中理科毕业生（上海、浙江考生须符合我校选考科目要求）。这句话如何理解？                                                    ,你好！对于贵州的学生，只要前期参加我校组织的能力测试，并获得了资格审核，在高考中达到一本线，就可以填报我校志愿的。                                                                         ,贵州,2018
9 ,0 ,江苏理科               ,非常希望到贵校就读，江苏理科375双A+，排名在8200名左右，请问有希望吗？概率大吗？                                                              ,你好！前期参加我校的能力测试了吗？我校是“631”综合评价录取的，具体的你可以参看南方科技大学2018年普通高校招生章程http://zs.sustc.edu.cn/zszc/zhangcheng/2018/0612/1562.html。           ,江苏,2018
10,0 ,报名                 ,在云南是属于提前批还是自主招生，638分，排名2787能否有希望录取                                                                        ,你好！云南是“提前批次”的，具体的话以当地考试院公布的信息为准，如果您前期参加我校组织的能力测试并且通过的话，那么希望不小的。                                                                   ,云南,2018
11,0 ,咨询                 ,我是今年广州理科生，超一本线11分，可以报贵大学吗？谢谢！                                                                             ,你好！我校是“631”综合评价录取的，在广东是“自主招生类院校批次”，学生报考需要提前参加我校组织的能力测试才可以的。                                                                       ,广东,2018
12,0 ,提前批A               ,一本线下的考生能否报考贵校提前批？                                                                                         ,你好！不可以的。一本线为报考我校的资格线。                                                                                                             ,河北,2018
