ID,标签,标题                            ,问题                                                                                                                                                 ,答案                                                                                                                                                                                                                 ,省份 ,年份
5 ,0 ,录取，宿舍                         ,您好，请问贵校在湖南省的招生比例是多少？如果服从调剂是否有退档风险(服从调剂时在什么情况下会退档)？贵校宿舍是几人间、有无独立卫浴、有无独立空调？谢谢                                                                        ,我校在所有省份投档比例都1：1，服从调剂不会退档。宿舍大部分是四人间，个别是八人间，有独立卫浴，全部有空调。                                                                                                                                                             ,湖南 ,2021
6 ,0 ,报考咨询                          ,新疆理科生517，位次4902，报考贵校哪些专业比较稳妥？                                                                                                                      ,2020年我校在新疆本科录取最低为531分，二本最低为441分，2021年相关专业请看招生网：https://zs.gdmu.edu.cn/info/1017/1645.htm。                                                                                                                          ,新疆 ,2021
7 ,0 ,咨询临床医学                        ,您好，黑龙江考生理科527分，排名11397，临床医学是否可以？                                                                                                                   ,有难度，只能冲一下。                                                                                                                                                                                                         ,黑龙江,2021
8 ,0 ,历史类                           ,广东深圳503分排位47818有机会冲一冲吗？                                                                                                                            ,机会不大，慎重报考。                                                                                                                                                                                                         ,广东 ,2021
9 ,0 ,协同培养                          ,请问在贵校的协同培养中发的毕业证是贵校的吗？如果采用协调培养可以考研吗                                                                                                                ,毕业证由我校发放，跟普通类专业是一样的，可以考研。                                                                                                                                                                                          ,广东 ,2021
10,0 ,单列                            ,你好老师，我女儿是新疆单列类的高考分数352分位次3617名报考你们学校一本有望吗？新疆预科班具体是什么可以介绍一下吗老师                                                                                      ,2020年新疆预科单列类最低录取分数404分，平均分为415分，仅供参考。预科生第一年要先新疆师范大学读完一年预科，然后根据预科成绩和高考成绩把学生分到医学检验技术、护理学、预防医学、药学、信息管理与信息五个专业。                                                                                                        ,新疆 ,2021
11,0 ,辽宁考生                          ,请问贵校有保研资格吗                                                                                                                                         ,我校暂无保研资格。                                                                                                                                                                                                          ,辽宁 ,2021
12,0 ,广东医科大学录取问题                    ,我的排位是52922能被贵校临床医学录取吗？                                                                                                                             ,有机会但不太稳，预测在5万名左右。                                                                                                                                                                                                  ,广东 ,2021
13,0 ,录取希望                          ,你好，本人分数556，排名63256，亲问报考贵校的儿科学专业录取希望大吗                                                                                                              ,有难度，只能冲一下。我校201专业组全是热门医学专业                                                                                                                                                                                         ,广东 ,2021
14,0 ,视力要求                          ,请问矫正视力在5，镜片度数在450~500之间，其他正常，能报生物医学工程专业吗？                                                                                                          ,生物医学工程专业只限不招色盲色弱，跟视力无关。                                                                                                                                                                                            ,湖南 ,2021
15,0 ,录取                            ,老师您好，我是福建历史倾向的考生，分数500，省排名18831，请问有希望被本校录取吗？                                                                                                       ,这排位可能在上线边缘，我校在福建是1:1投档，建议报考冲一下。                                                                                                                                                                                    ,福建 ,2021
