ID,标签,标题                            ,问题                                                                                                                                                     ,答案                                                                                                                                                        ,省份 ,年份
5 ,0 ,投档线和录取线                       ,请问贵校的投档线和录取线是如何定的？投档人数和录取人数比例是多少？                                                                                                                      ,你好！这个问题请问考试院。                                                                                                                                             ,广东 ,2021
6 ,0 ,专本同读                          ,想问一下贵校有开设专科吗？是否专本连读                                                                                                                                    ,没有专科                                                                                                                                                      ,广东 ,2021
7 ,0 ,录取                            ,贵州文科考生，位次4579，有希望被贵校录取吗？                                                                                                                               ,生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；同时也建议服从专业调剂。                                                                                                ,贵州 ,2021
8 ,0 ,退档                            ,请问贵校在什么情况下会被退档？为了不被退档该怎么做？                                                                                                                             ,你好！为更好地保护考生的利益，学校决定对平行志愿批次下服从调剂、体检合格且符合有关录取规定的出档考生不退档。                                                                                                    ,广东 ,2021
9 ,0 ,双学位                           ,请问翻译专业在贵校的可选辅修的专业之内吗？                                                                                                                                  ,目前，学校已开设英语、商务英语、国际经济与贸易、会计学、金融学、日语、法学、外交学、软件工程、应用心理学辅修专业，深受学生欢迎。                                                                                          ,广东 ,2021
10,0 ,投档                            ,请问贵校的投档是按1：1还是1：1.2来投档的？                                                                                                                               ,按考试院的规定要求。                                                                                                                                                ,广东 ,2021
11,0 ,录取问题                          ,我分数571，历史类，服从专业调剂，可以报考贵校吗，可被录取吗?会不会被退档                                                                                                                 ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
12,0 ,录取规则                          ,你好！我是今年的广东考生，请问贵校今年英语类专业的录取规则是什么？是分数优先还是要看学科分数？                                                                                                        ,你好！普通类专业分档时，根据各省（区、市）投档规则出档后，实行“分数优先”的录取原则。不设置专业级差。对考生投档总分有排位的省（区、市），根据考生投档总分排位情况从高到低排序录取。先安排投档总分排位高的考生的第一专业志愿，若该专业额满，再依次查看该生的后续专业志愿；以此...[详细]            ,广东 ,2021
13,0 ,专业招生                          ,请问贵校的法语，西语，葡语今年在湖北招生吗？                                                                                                                                 ,你好！请查看我校2021年外省分专业招生计划表                                                                                                                                   ,湖北 ,2021
14,0 ,转专业                           ,请问贵校转专业的条件和限制是什么？                                                                                                                                      ,你好！为调动学生学习的主动性与积极性，学校允许符合条件的本科生转专业。转专业在第二学期和第四学期进行。转出条件和名额不设限制，转入程序皆含笔试和面试。从2019-2020年的转专业数据来看，成功率达到70%                                                   ,广东 ,2021
15,0 ,双学位                           ,请问贵校修双学位的条件和限制是什么                                                                                                                                      ,你好！主辅修制是我校多元化本科教育模式的重要组成部分，是培养多规格、复合型人才的重要途径。学有余力的学生以主修专业为依托，经批准，在校期间可辅修其他专业的课程，毕业时符合相关条件，可获得辅修专业证书或辅修学位。目前，学校已开设英语、商务英语、国际经济与贸易、会计学、金融...[详细]            ,广东 ,2021
16,0 ,录取                            ,广东考生，物理类总分581，省排37936，请问有机会被贵校翻译专业录取吗？                                                                                                                 ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
17,0 ,退档                            ,本人为广东音乐生，报考本校音表专业，服从调剂，是否会被退档？                                                                                                                         ,学校决定对平行志愿批次下服从调剂、体检合格且符合有关录取规定的出档考生不退档                                                                                                                    ,广东 ,2021
18,0 ,体质要求                          ,本人为广东音乐生，想知道统考报考贵校的音表专业是否有明确的身高要求。因为贵校招生简章里没有提及，但还是想确认一下。谢谢老师。                                                                                         ,没有                                                                                                                                                        ,广东 ,2021
19,0 ,关于录取                          ,老师好，如果填报贵校某个专业组同时填选专业服从调剂，且身体健康，是否还会因专业名额满而出现提档后被退档情况。谢谢                                                                                               ,你好！不退档。                                                                                                                                                   ,广东 ,2021
5 ,0 ,录取和院校设置                       ,您好，我是广东省物理科考生，排位31080，请问能有多大概率进入贵校的英语师范系呢？请问英语师范系是在南校吗？英语师范系等于英语教育系吗？                                                                                  ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
6 ,0 ,投档和录取                         ,您好，我是广东物理类考生，分数572，排位46000+，请问贵校的投档线和录取线是如何定的，投档人数和录取人数有差别吗？                                                                                           ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
7 ,0 ,录取                            ,广东理科583分有可以冲一冲贵校专业吗？                                                                                                                                   ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
8 ,0 ,录取                            ,请问广东考生学物生地，总分586排名34000可以被英语专业录取吗？                                                                                                                     ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
9 ,0 ,提前批                           ,请问贵校今年在湖北有小语种的提前批计划吗？具体内容是什么？                                                                                                                          ,没有                                                                                                                                                        ,湖北 ,2021
10,0 ,提档                            ,贵校提档后还会退档吗？                                                                                                                                            ,你好！为更好地保护考生的利益，学校决定对平行志愿批次下服从调剂、体检合格且符合有关录取规定的出档考生不退档。                                                                                                    ,广东 ,2021
11,0 ,请问贵校的投档分数线什么时候出？              ,这里是广西文科考生，想知道贵校的投档分数线大概什么时候出                                                                                                                           ,考生你好！投档分数线是由广西主管部门投档后才能知晓。请留意广西的有关安排。欢迎报考广东外语外贸大学。                                                                                                        ,广西 ,2021
12,0 ,河南文科考生                        ,您好，我是一名河南文科考生，分数610，位次4672，贵校的专业中除了政治学类，行政管理其他都能接受，请问有多大概率被贵校录取？                                                                                       ,考生你好！如果考生被我校录取到自己不喜欢的专业，也不用担心，一是学生可在入学报到后参加创新班的选拔；二是学校为在校生提供了两次转专业的机会，符合条件的在校生可在第二、第四学期申请转专业。转出无门槛，学生只需参加转入学院的笔试面试。三是在校学生还可以修读其他专业的课程，毕...[详细]            ,河南 ,2021
13,0 ,录取                            ,您好，请问贵校往年在湖北的分数线是高出一本线多少呢？                                                                                                                             ,考生你好！我校高考招生网上有近年来的录取统计数据（https://zsb.gdufs.edu.cn/lqtj.htm），仅供参考。去年我校在湖北理工类录取的最低分高一本线68分。相比去年，今年我校在湖北省增加了30名计划。欢迎报考广东外语外贸大学！                              ,湖北 ,2021
14,0 ,河北                            ,贵校今年在河北省的招生计划里，没有西班牙语等小语种吗？本来想报考的                                                                                                                      ,考生你好！如果考生被我校录取到自己不喜欢的专业，也不用担心，一是学生可在入学报到后参加创新班的选拔；二是学校为在校生提供了两次转专业的机会，符合条件的在校生可在第二、第四学期申请转专业。转出无门槛，学生只需参加转入学院的笔试面试。三是在校学生还可以修读其他专业的课程，毕...[详细]            ,河北 ,2021
15,0 ,志愿填报                          ,今年广东省本科招506个音乐表演-声乐生，是否在音乐表演-声乐统考排位在506之上才能被该校录取？                                                                                                      ,考生你好！我校的音乐表演专业，要求考生须参加所在省份的术科省级统考，术科统考成绩和高考文化课成绩均达到所在省份划定的相应批次最低录取控制分数线。建议考生在把握好“冲稳保”的基础上，在志愿表的靠前位置填报我校。欢迎报考广东外语外贸大学！                                     ,广东 ,2021
16,0 ,录取                            ,您好，我是湖北物理类考生，590，省排名20160到20575，请问有望冲击贵校吗？                                                                                                             ,考生你好！欢迎报考广东外语外贸大学！                                                                                                                                        ,湖北 ,2021
17,0 ,志愿填报                          ,音乐表演-声乐综合分509排位1071录取贵校几率大不大？                                                                                                                          ,考生你好！我校的音乐表演专业，要求考生须参加所在省份的术科省级统考，术科统考成绩和高考文化课成绩均达到所在省份划定的相应批次最低录取控制分数线。建议考生在把握好“冲稳保”的基础上，在志愿表的靠前位置填报我校。欢迎报考广东外语外贸大学！                                     ,广东 ,2021
18,0 ,报考                            ,您好，河北考生，物政地组合，678分，24508名，有希望被贵校录取吗？假如被调剂，是否还有选择调剂专业类别的机会？                                                                                             ,考生你好！河北省实行高考改革，填报专业志愿是以“专业（类）+学校”为单位，即一所院校一个招生专业（类）为一个志愿，不再设专业服从调剂选项。欢迎报考广东外语外贸大学！                                                                        ,河北 ,2021
19,0 ,录取可能性                         ,广东省排52000想冲有机会吗                                                                                                                                        ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
5 ,0 ,录取                            ,请问一下广东物41000名可以能否有机会录取到广东外语外贸大学?，谢谢                                                                                                                    ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
6 ,0 ,录取                            ,（物）41000名可以录取到广东外语外贸大学?                                                                                                                                ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
7 ,0 ,往年录取分数                        ,老师您好，我找不到最近三年的录取情况                                                                                                                                     ,考生你好！我校近几年的录取统计情况网址如下：https://zsb.gdufs.edu.cn/lqtj.htm欢迎报考广东外语外贸大学！                                                                                      ,河北 ,2021
8 ,0 ,录取                            ,广东物理省排32920名，有多大概率被录取？                                                                                                                                 ,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。                                                        ,广东 ,2021
