ID,标签,标题                            ,问题                                                                                                                                                            ,答案                                                                                                                                                                                                                                                             ,省份 ,年份
5 ,0 ,双学位                           ,翻译专业是否在可选辅修双学位专业之内？                                                                                                                                           ,2020级辅修专业报名通知        单位：教务处        2020级各位同学：    根据教学计划的安排，学校将在2021年秋季学期开设2020级辅修专业。现将报名有关事项通知如下：    一、辅修专业设置：    工商管理、信息管理与信息系统、计算机科学与技术、金融工程（科技金融方向）、英语五个专业。    二、申请条件：    1、一年级所修...[详细]                                                                    ,广东 ,2021
6 ,0 ,录取                            ,广东物理类考生，总分581，省排37936，请问有机会被贵校外国语言文学专业录取吗？                                                                                                                    ,有机会                                                                                                                                                                                                                                                            ,广东 ,2021
7 ,0 ,录取咨询                          ,请问河南文科考生596分排名7782上贵校学经济学专业可能性大吗                                                                                                                              ,大胆填报，有机会                                                                                                                                                                                                                                                       ,山东 ,2021
8 ,0 ,招生计划                          ,请问今年贵校对江苏有招生人数吗                                                                                                                                               ,https://zsb.gdut.edu.cn/xxcx/zsjh1/js.htm江苏2021计划                                                                                                                                                                                                              ,江苏 ,2021
9 ,0 ,录取                            ,请问贵校录取控制分数线是多少是1:1投档还是1:1.2投档后会被退档吗                                                                                                                           ,1比1，服从调剂不退档                                                                                                                                                                                                                                                    ,广东 ,2021
10,0 ,录取                            ,473文史类湖南的能否录取                                                                                                                                                 ,参考去年录取分数https://zsb.gdut.edu.cn/xxcx/wnlq1/a2020nlqqk/hn.htm                                                                                                                                                                                                   ,湖南 ,2021
11,0 ,录取                            ,物理类考生528分是否有机会进入揭阳校区                                                                                                                                          ,第一年招生，大胆冲                                                                                                                                                                                                                                                      ,广东 ,2021
12,0 ,中外合作                          ,选科：物理，518分，排位109393，有多大概率录取？谢谢！                                                                                                                               ,大胆冲，有机会。                                                                                                                                                                                                                                                       ,广东 ,2021
13,0 ,录取                            ,你好我想请问贵州文科596分位次在3493有机会报考贵校吗                                                                                                                                 ,https://zsb.gdut.edu.cn/xxcx/wnlq1/a2020nlqqk/gz.htm参考去年录取情况                                                                                                                                                                                                   ,贵州 ,2021
14,0 ,中外合作办学                        ,中外合作项目如果不出国学习，成绩合作，毕业证书是否和广工其它专业毕业证书一样？                                                                                                                       ,https://zsb.gdut.edu.cn/info/1143/2951.htm 毕业证都是广工的，一样的。                                                                                                                                                                                                       ,广东 ,2021
15,0 ,录取                            ,你好我想请问贵州文科596分位次在3493有机会报考贵校吗                                                                                                                                 ,https://zsb.gdut.edu.cn/xxcx/wnlq1/a2019nlqqk/gz.htm参考去年录取情况                                                                                                                                                                                                   ,贵州 ,2021
16,0 ,专本同读                          ,问一下贵校有开设专科吗？专本同读                                                                                                                                              ,没有专科计划                                                                                                                                                                                                                                                         ,广东 ,2021
17,0 ,录取                            ,广东物理考生，538分能冲贵校吗？                                                                                                                                             ,排名是多少？全最低录取排名53000左右。可以考虑揭阳校区和国际班                                                                                                                                                                                                                              ,广东 ,2021
18,0 ,揭阳校区                          ,揭阳校区的分数排位是参照本校的吗？                                                                                                                                             ,广州各校区代码11845 揭阳校区代码80003分数排位不一样的                                                                                                                                                                                                                               ,广东 ,2021
19,0 ,中外合作办学                        ,中外合作办学大致国内外各几年，学费多少                                                                                                                                           ,https://zsb.gdut.edu.cn/info/1143/2951.htm                                                                                                                                                                                                                     ,广东 ,2021
5 ,0 ,中外合作办学                        ,今年中外合作办学大致排名去到哪里                                                                                                                                              ,这个不好分析，动画班停招，招生计划全部挪到国际班。 https://zsb.gdut.edu.cn/info/1143/2951.htmhttps://zsb.gdut.edu.cn/xxcx/wnlq1/a2020nlqqk/gd.htm                                                                                                                                       ,广东 ,2021
6 ,0 ,录取                            ,老师好！广东省物理类567分，排位51139，有机会录取贵校吗？谢谢！                                                                                                                           ,有机会，不过专业不要挑太热门的，勾选服从调剂                                                                                                                                                                                                                                         ,广东 ,2021
