ID,标签,标题                          ,问题                                                                                            ,答案                                    ,省份,年份
0 ,0 ,关于三，二分段的问题                  ,请问报考三二分段，如果没到分数线，但又不服从调剂，会不会退档？还是自动滑到下一个志愿？                                                   ,没到线不会投档，投到下个学校                        ,广东,2020
1 ,0 ,专业                          ,贵校有哪些本科专业                                                                                     ,共有17个专业，详细请微信关注广东工商职业技术大学公众号，内有详细专业计划表,广东,2020
2 ,0 ,录取                          ,广东考生，文科431分，填A志愿，商务英语，稳吗？                                                                     ,被录取的机会大                               ,广东,2020
3 ,0 ,贵校是本科院校吧                    ,看到贵校专业选择那显示是3年专科，所以问一下贵校是否是本科院校                                                               ,我校是本科院校，也有招专科专业，本专科同招                 ,四川,2020
4 ,0 ,高考招生                        ,高考成绩410理科能上贵校吗                                                                                ,你好，第一志愿填报我校被录取的机会大                    ,广东,2020
5 ,0 ,转专业，额外的费用，双学位               ,贵校转专业方便吗具体条件是啥?进入贵校后有没有额外收取费用的地方？能攻读双学位吗?谢谢                                                   ,本科还是专业？                               ,广东,2021
6 ,0 ,请问442分可以报考贵校吗？外语语选择日语会有什么影响？,请问442分可以报考贵校吗？外语语选择日语会有什么影响？                                                                  ,历史还是物理？                               ,广东,2021
7 ,0 ,录取                          ,您好，我是广东考生，今年物理分数433，排名220798，刚过本科线一分，第一志愿报考贵校有希望吗                                             ,有机会                                   ,广东,2021
8 ,0 ,能上吗                         ,广东理科208002名能上软件工程吗                                                                            ,有机会，大胆报                               ,广东,2021
9 ,0 ,444能被录取吗                    ,理科444分有机会上得了软件工程吗                                                                             ,基本没问题，详情可咨询0758-6179018               ,广东,2021
10,0 ,录取                          ,广东考生，今年刚过理科本科线请问有机会吗？？？                                                                       ,有机会，详情可咨询0758-6179018                 ,广东,2021
11,0 ,录取                          ,老师，您好！21年海南理工科考生，分数469分，刚刚过海南三本线（466），报考贵校计算机专业，会录取吗？                                         ,有机会，详情可咨询0758-6179018                 ,海南,2021
12,0 ,高考录取                        ,调剂是在这个专业组里调剂专业，还是在所有的专业组里面调剂专业，会不会出现调剂到价格不一样的高价点的专业                                           ,本科还是专科？                               ,广东,2021
13,0 ,关于本科录取                      ,广东历史类考生分数454排名89163有机会被贵校的本科批次录取吗                                                             ,有机会，详情可咨询0758-6179018                 ,广东,2021
14,0 ,是否录取安徽考生                    ,安徽理科排名169097能否有机会上这个学校                                                                        ,安徽我们有专科招生，咨询电话0758-6179018            ,安徽,2021
15,0 ,广东录取                        ,今年美术招生，排位刚踩本科线，有机会录取吗？广东美术考生咨询多不多？                                                            ,你好，A志愿填报我校机会大，咨询量适中                   ,广东,2020
16,0 ,广东美术生                       ,老师您好，请问文科278，美术类总分分444排位21224，就今年的投档线来讲，报考贵校录取成功机率大概多大？看招生计划今年美术类只招50人是吗？去年美术类最低投档线排名是多少？谢谢老师！,100人，A志愿填报我校录取机会很大                    ,广东,2020
17,0 ,录取                          ,文科刚过线一两分，为什么填贵校为A志愿录取机会更大？我如果填C志愿，前面A，B志愿老师说要冲一冲，这样录取率会有影响吗，录取机会和填A志愿一样吗                      ,没有影响，机会一样                             ,广东,2020
18,0 ,广东美术生                       ,我是广东美术生，请问一下综合441，双过线，美术排名两万二➕，有机会报读贵校吗                                                       ,你好，建议A志愿填报我校录取机会很大                    ,广东,2020
19,0 ,录取                          ,湖南文科501，排名46003，能否有希望被贵校录取，本科专业                                                               ,如达到湖南本科投档线，填报我校录取机会大                  ,湖南,2020
