ID,标签,问题,答案
0,0,老师，你好，我想问一下贵校201专业组大二是在广州哪个校区的,广州校区共有4个，具体根据当年学校实际安排。
1,0,可不可以第一、第二志愿同时报考贵校，报考不同专业组？,可以，谢谢
2,0,请问贵校与深圳职业技术学院的协同培养，最后毕业证上是本科学历吗？,本科学历。
3,0,您好，请问贵校的志愿填报时显示出来的“非聚居或外省少数民族考生”是什么意思，是不是本省的学生（汉族）不可以填报，望答复，谢谢。,少数民族学生是针对广东省的少数民族学生，但是需要是聚居地的少数民族考生。
4,0,您好！我是广东物理类，513分，排位116630，请问报汉语言文学专业录取的可能性大吗？，谢谢！,考生，你好！请参考我校往年录取分数线，http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
5,0,金融学(应用技术类，与广州番禺职业技术学院协同培养)应该怎理解？是发贵校的毕业证吗？,金融学(应用技术类，与广州番禺职业技术学院协同培养)，全部四年在广州番禺职业技术学院读书，毕业证由我校颁发。
6,0,广东历史考生554排名一万七报考该校英语师范专业机会大吗？该校英语师范专业教学资源如何？该专业考研率高吗？（官方只给出平均值）该校对成绩优异者有何特殊奖励政策？若想成为该校大学教授需要哪个级别的学历要求？谢谢,考生，你好！填报志愿可以参考2021年高考填报指南（里面含2020年我校各专业录取最低排位），英语师范专业师资水平可查看我校外国语学院官方网站了解，谢谢
7,0,去年贵校理科法学招生的最低分数514，排名是91700左右，这个是包括民族生吗？,考生，你好！请参考我校往年录取分数线（http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm），谢谢
8,0,广东考生，排名85230左右，可以报考贵校法学专业吗？把握大吗？,考生，你好！请参考2021年高考志愿填报指南或者是查看我校往年录取分数线（http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm），谢谢
9,0,请问贵校的计算机类第二学年专业分流是如何分流的？,大二分流标准：根据学生分流时所填报专业志愿，然后再按照学生专业分流前的学业成绩进行由高到低排序进行。
10,0,广东，515分，报贵校行不行,欢迎报考我校！可以留意一下协同培养专业。
11,0,湖北文科生559报考贵校英语专业概率多大,请参考一下往年在湖北招生情况。有希望的话，可以冲一冲。
12,0,请问，如果录取时被调剂了专业，有机会转到喜欢的专业吗？要转的话需要怎样的条件？一般成功率大吗？,考生，你好！入校后，第一年的第二学期可以申请转专业，具体要求可入校再了解相关政策，谢谢
13,0,我的专业组只有一个专业选择，选择服从调剂，如果那个专业录不了，请问是如何调剂？（专业组只有一个专业可选）,考生，你好！如果是院校专业组只有一个志愿，能够投档过来，基本上是不需要调剂的，谢谢
14,0,您好，我想咨询一下教育技术学和数学与应用数学在哪个校区,考生，你好！除协同培养外，我校其他专业均为第一学年在河源校区，第二至第四学年在广州校区，谢谢
15,0,您好，我想问的是一个专业组内只有一个专业，选择服从调剂，万一那个专业满额了，可是专业组就一个专业，那怎么办呢？,考生，你好！请先了解广东省高考录取原则，谢谢
16,0,您好，请问一个专业组内只有一个专业选择，选择了服从调剂，然后没被那个专业录取，会跳到第二个专业组还是会被退档？,考生，你好！专业组内调剂
17,0,您好，请问一个专业组内只有一个专业选择，选择了服从调剂，然后没被那个专业录取，会跳到第二个专业组还是会被退档？,考生，你好！服从调剂，会在同一院校专业组内调剂，谢谢
18,0,物理类可以选汉语言文学专业吗,考生，你好！请具体查看我校2021年招生计划表http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
19,0,想请问一下，我是广东考生，我的身份证和户口本都是少数民族，我是少数民族，高中以前都在少数民族聚居地区读，高中和高考没有在少数民族地区读，录取的时候会不会按照少数民族录取？如果我要确认自己符不符合少数民族投档要求我要去哪里确认？报志愿的时候我要怎么报，怎么写代码？,考生，你好！少数民族身份可咨询当地教育局或者是广东省教育考试院；志愿填报请参考广东省教育考试院出版的志愿填报指南和专业目录用书。谢谢
20,0,广东考生，编导专业综合分452，有机会吗？,考生，你好！请参考我校往年录取分数线，网址为：http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm
21,0,土地资源管理是属于文科还是理科呢,考生，你好！我校目前没有土地资源管理专业，谢谢
22,0,汉语言文学专业是贵校的热门/一级专业吗？这两个专业今年扩招吗？广东文史498分排名52187被贵校录取的概率大吗（以贵校为第一志愿）？,考生，你好！请查看我校招生网址，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm
23,0,请问广东考生理科排名84900报读贵校汉语言文学师范类专业有机会被录取吗？,考生，你好！请参考我校往年录取分数线，网址为：http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm。谢谢
24,0,该校是否有大类招生的专业组，且是否有专业级差呢？,我校目前没有设置大类招生专业组，谢谢
25,0,广东选物理509分121000名有机会报考贵校吗,考生，你好！请参考我校往年录取分数做合理评估，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm
26,0,新疆理科316位次32869有没有可能招收,考生，你好！具体可参考我校往年录取分数线，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
27,0,你好，广东全理排位104056，总分522有机会被贵校录取吗,考生，你好！请参考我校往年录取分数线做合理评估，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
28,0,请问汉语言文学专业的校区在哪里？回到大学城后是在哪一个校区？,除协同培养专业外，其他专业均为第一学年在河源校区，第二至第四学年在广州校区
29,0,广东物理类总分562，排名56191，报考贵校的英语师范专业能稳保吗？若服从调剂而被调剂到其他专业是否还有机会转专业？,考生，你好！具体可参考我校往年录取分数线，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm。若服从调剂，被我校录取后，大一下半学期可申请转专业。
30,0,请问是湖南户籍少数民族聚居的广东考生符合资格报考吗？,考生，你好！如果以少数民族学生身份报考，则需和当地教育考试院咨询是否符合条件。谢谢
31,0,广东考生，选择物生地，分数485，排名154949，有机会心理师范吗,考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
32,0,"在官网上没有查到贵校的历年分数线，请问贵校近三年有没有在西藏招生？文史类的分数线是多少？今年文史汉族考生考了377分，位次1655,报考有希望吗？谢谢",考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
33,0,我的排名是109832，是否能被贵校录取。网络空间安全今年录取排名如何。,考生，你好！具体请查看我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
34,0,请问位次96108有把握上贵校吗入学可以专业吗奖学金如何设置,考生，你好！填报志愿具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm。入学后可转专业。
35,0,1、请问国家特色的专业是汉语言文学专业还是汉语言文学（师范）专业？2、请问校区是第一年在河源，后到大学城吗？3、请问广东省历史类考生559分，排14521到汉语言文学（师范）稳吗？,考生，你好！填报志愿具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm除联合培养专业外，其他专业均为第一学年在河源校区，第二至第四学年在广州校区（共有4个）
36,0,请问综合分489（文），排位517有机会被贵校的广电编专业录取吗？,考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
37,0,联合培养项目是否比本部分数低？,考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
38,0,电气工程及其自动化专业第二年到哪个校区,根据当时情况而定。
39,0,录取比例是多少,按照1：1投档录取。
40,0,请问广东历化政471能报考贵校吗？,考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
41,0,广东历史31500报考贵校，录取几率高吗？报考,考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
42,0,您好，我是梅州考生，请问2021年理科520分，选科是政治，生物。排位106817准能有幸被贵校录取吗？能选择哪些热门专业呢？,考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
43,0,广东历史类31500名报考贵校，录取几率高吗？报考,考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
44,0,我是少数民族，高中以前也一直在少数民族地区读书，高中和高考不在少数民族地区，录取我的时候会按照少数民族录取吗？,具体可咨询当地考试院，确定自己是否符合少数民族条件。
45,0,我是少数民族，高中以前也一直在少数民族地区读书，录取我的时候会按照少数民族录取吗？,具体可自行当地考试院，确定自己是否符合少数民族考生条件。
46,0,您好！湖南理科513分想报考贵校，请问有希望被录取吗，谢谢,考生，你好！具体可参考我校往年录取情况，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
47,0,请问贵校2021年扩招吗,考生，你好！具体可查看我校2021年招生计划，网址为http://zs.gpnu.edu.cn/bkzn/a2021nptgkbkzl.htm，谢谢
48,0,请问贵校专业组201物理师范大概要多少排位（广东省）,考生可以参考往年录取情况和今年录取计划进行分析。去年最低排位84753
49,0,你好，请问贵校的音乐学和音乐表演专业的专业代码是什么？谢谢,考生请查看招生专业目录。
50,0,老师好，我是物理类总分526，省排名39933，想报考贵校的数据科学与大数据技术，数字媒体技术，网络工程，有希望吗？服从调剂是否会被退档？,请参考我校往年在福建的专业录取情况。对投档到学校的考生，服从调剂且政审和体检都合格的话，学校不退档。
51,0,老师您好珠海美术生术科223文化401综合总分495省内排位8265偏爱动画有没有希望进贵校的相应什么专业？,美术类有7个普通专业，可以查看招生专业目录。在填报我校时，应结合往年录取情况和分数线进行分析，建议勾选“服从调剂”
52,0,老师你好！请问贵州5万有把握被贵校录取吗？还有就是一些专业（比如软件工程）是必须去职业技术学校学习4年吗？,请参考往年贵州录取情况，4+0协同培养，4年均在协同培养院校进行。
53,0,河南理科过一本线五分，排名十万九千，能上贵校吗,请参考往年河南录取情况，采用“冲稳保”原则进行填报。
54,0,请问广东文史类492分，排名56288，贵校录取的概率大吗？,请参考往年录取情况，采用“冲稳保”原则进行填报。
55,0,请问广东考生选物化政489分可以报贵校吗？,请参考往年录取情况，采用“冲稳保”原则进行填报，建议勾选“服从调剂”。
56,0,美术生合成总分452，排位2万，有机会报贵校教师专项计划吗？,请参考往年录取情况，采用“冲稳保”原则进行填报，建议勾选“服从调剂”。
57,0,您好我是河源的一名考生我的排名在全省排七万三前多我想以后从事教育类想填报贵校的数学或英语专业但我看了一下贵校往年的最低录取排位为五万和六万我觉得填报贵校的这两个专业有点悬对此您有什么看法然后我想着填物理（师范）该专业的最低录取排位为79000多如被录取再转专业可以吗贵校对单科...[详细],请参考往年录取情况，采用“冲稳保”原则进行填报，建议勾选“服从调剂”。转专业问题，如果被录取了，考生可以申请转专业，具体需咨询教务处有关规定。
58,0,广东文史类60000名能报贵校吗,请参考往年录取情况，采用“冲稳保”原则进行填报，建议勾选“服从调剂”。
59,0,您好，请问广东本科历史排位7.5w左右可以冲一下贵校的商务英语和应用心理学专业吗,请参考往年录取情况，采用“冲稳保”原则进行填报，建议勾选“服从调剂”。
60,0,您好，请问广东历史类别考生排名65489有机会被贵校录取吗？谢谢,请参考往年录取情况，采用“冲稳保”原则进行填报，建议勾选“服从调剂”。
61,0,广东历史类考生，排名28092.请问被贵校法学专业录取的可能性高吗？,参考往年录取情况，录取有很大希望。建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
62,0,请问贵校有哪些非师范类的专业？,请考生查看招生专业目录。
63,0,"老师您好，陕西文科位次27621,455分有望被本校的金融学专业录取吗",今年学校第一次在陕西招生。建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
64,0,你好，请问贵校的农村教师专项计划需要到哪些地区入职,定向至韶关、河源、湛江等地，具体请查看招生专业目录。
65,0,老师您好，请问贵校相较于去年，今年录取广东省历史类482分（排名64616）的考生机率大吗？,参考往年录取情况，建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
66,0,电气工程及其自动化专业第一年在哪个校区读？第二年在哪个校区，专业分流是什么意思？到时候专业是随学生自己的意愿还是什么来分？,大一在河源校区，大二搬回广州校区。按大类招生的专业，大二时根据学生意愿和学习情况进行分流，届时会有相关分流说明。
67,0,你好，我是广东的考生我想请问一下理科省排13万6冲一冲上广师能上的几率大吗,参考往年录取情况，建议采用“冲稳保”原则填报协同培养专业，并勾选“服从调剂”。
