ID,标签,标题                             ,问题                                                                                                                                                                  ,答案                                                                                                                                            ,省份 ,年份
5 ,0 ,能否转专业                          ,是否可以转专业？                                                                                                                                                            ,可以                                                                                                                                            ,广东 ,2021
6 ,0 ,安徽理工考生                         ,"2021年会安徽理工433分，排位141231,有希望被贵校录取吗？如服从调剂，最有希望的是什么专业哪个校区就读？谢谢！"                                                                                                      ,2020年的招生有人退档，导致后面补录补到的最后一名排名过低，所以2020年的录取排位名次，没有很大的参考价值。建议参考往年的，安徽都在一本线上下录取。                                                                  ,安徽 ,2021
7 ,0 ,录取                             ,你好，我是广东省历史系考生，省排三万七，请问被您校录取的可能性大吗？有专业符合吗？                                                                                                                           ,希望挺大。具体可报专业请查看我校招生计划。                                                                                                                         ,广东 ,2021
8 ,0 ,安徽考生                           ,安徽理工433分可以报考贵校吗？录取概率大不大？会在哪个校区就读？专业分数高不高？                                                                                                                           ,2020年的招生有人退档，导致后面补录补到的最后一名排名过低，所以2020年的录取排位名次，没有很大的参考价值。建议参考往年的，安徽都在一本线上下录取。                                                                  ,安徽 ,2021
9 ,0 ,录取                             ,您好，广东历史方向525，排名32233，医学方面的专业往年没有数据参考，可以建议一下那些医学方面的专业可以选择的吗？                                                                                                         ,文科生可读的医学方面专业，请查看招生计划表                                                                                                                         ,广东 ,2021
10,0 ,转专业                            ,进校后可以申请转专业吗                                                                                                                                                         ,可以                                                                                                                                            ,广东 ,2021
11,0 ,转专业                            ,进校后可以申请转专业吗                                                                                                                                                         ,可以                                                                                                                                            ,广东 ,2021
12,0 ,视力                             ,请问贵校，我近视，体检报告写我是3.9，可是我因为散光，导致裸眼视力很低，但实际我近视度数矫正只达到175，这会影响我的报考吗？                                                                                                    ,部分专业不招色盲色弱。具体请查看招生计划。                                                                                                                         ,广东 ,2021
13,0 ,专业组                            ,关于专业组207021药学专业，是不是志愿不填报，就不会录取？或者说，最后也不会被调剂到这个专业？                                                                                                                   ,是的。药学国际班只招收填报了志愿的考生，其他考生不会调剂到这里。                                                                                                              ,广东 ,2021
14,0 ,广东物理考试录取                       ,广东物理考试排名103165有机会吗                                                                                                                                                  ,结合往年情况和今年招生实际，建议广东省内理科排名12.5万名左右，文科4万名的考生左右大胆报考。理科13.5万名左右，文科4.5万名左右的考生大胆冲一冲。                                                                 ,广东 ,2021
