ID,标签,标题                     ,问题                                                                       ,答案                                                                                             ,省份,年份
5 ,0 ,广东考生                   ,高考理科433排位22万有机会上贵校吗                                                      ,你好！根据往年录取情况来看可以录取，请大胆填报在第一专业组                                                                  ,广东,2021
6 ,0 ,你好                     ,广东理科444能上吗                                                               ,你好！根据往年录取情况来看可以录取，请大胆填报在第一专业组                                                                  ,广东,2021
7 ,0 ,广东美术生                  ,我是广东美术生，文化331，术科211，合成总分449，我是日语生，请问我A志愿报考贵校，能被录取吗？                      ,你好！根据往年录取情况来看可以录取，请大胆填报在第一专业组                                                                  ,广东,2021
8 ,0 ,录取                     ,您好，请问广东理科考生，431，排名220077，能被贵校录取吗                                         ,未到广东省理科分数线。                                                                                    ,广东,2021
9 ,0 ,广东考生有机会吗               ,广东考生，排名21万左右，有机会上吗？？？                                                    ,你好！过线请大胆填报在第一专业组                                                                               ,广东,2021
10,0 ,本科线超11分，能上贵校专业？        ,请问文科459分，本科，能上贵校金融学、英语类专业？                                               ,你好！根据往年录取情况来看可以录取，请大胆填报在第一专业组。                                                                 ,广东,2021
11,0 ,浙江考生                   ,您好，请问今年贵校在浙江有招生计划吗？508分位次14万多有希望被贵校本科录取吗？选科是政地生。                         ,你好！不好意思，今年在浙江没有招生计划。                                                                           ,浙江,2021
12,0 ,录取情况                   ,您好，老师我今年高考260分能被你们学校本科专业录取吗                                              ,你好！请问是哪个省份的考生！                                                                                 ,贵州,2021
13,0 ,文科生能读贵校的建筑专业吗          ,文科生能读贵校的建筑专业吗？                                                           ,请问是本科还是专科生？可以关注我校的公众号：广州科技职业技术大学                                                               ,广东,2021
14,0 ,2021届广西考生395分能否进入贵校本科专业,不知贵校有哪些本科专业？                                                             ,请问是文科还是理科，理科你们省线是348就没问题，文科省线413，可能要看补录的情况，可以关注我们学校的官微：广州科技职业技术大学，或者来电咨询:020-87410218、87410318。,广西,2021
15,0 ,广东文科考生                 ,排位八万四，想保底机会大吗                                                            ,没问题的，请关注我们公众号多点了解学校各方面信息                                                                       ,广东,2020
0 ,0 ,美术生                    ,美术统考过本科合格线，过不了本科省控制线，文化分理科过本科省控制线，专业刚过本科合格线（190）有资格报读你学校吗？如可以的话，是按综合分录取吗？,美术和文化课都需要过省公布的本科控制线，才有可能录取，如果我校该专业录取不满，可能有补录情况，请你留意考试院官网或者我校招生官网。                              ,广东,2020
1 ,0 ,那广东理科416排名209843报贵校稳吗  ,那广东理科416排名209843报贵校机会大吗不报在A志愿会录不上吗                                       ,想读我校建议A志愿填报，稳，更多信息请关注我校官方微信公众号                                                                 ,广东,2020
2 ,0 ,咨询                     ,河南文科501分有希望进贵校吗？                                                         ,河南无本科计划                                                                                        ,河南,2020
3 ,0 ,广东美术生                  ,美术生综合441，双过线，有机会报考贵校吗                                                    ,大胆填报我校A志愿，稳。                                                                                   ,广东,2020
4 ,0 ,文科分数                   ,您好，我今年文科考了428分，有机会被贵校录取吗？                                                ,文科428未到本科线，可以被我校专科录取。                                                                          ,广东,2020
5 ,0 ,录取                     ,广东理科413能进贵校会计学吗                                                          ,本科暂时没有会计专业，可以进我校官网或者关注公众号（广州科技职业技术大学）了解更多招生信息                                                  ,广东,2020
6 ,0 ,老师你好请问学校今年什么时候到校报道？    ,到校报道时间                                                                   ,新生是10月中旬，可以关注公众号（广州科技职业技术大学）了解更多招生信息                                                           ,广东,2020
7 ,0 ,分数                     ,你好，请问我理科418，排名20万左右能上贵校吗？                                                ,根据去年录取情况，你填报A志愿没问题，可以进我校官网或者关注公众号（广州科技职业技术大学）了解更多招生信息。                                         ,广东,2020
8 ,0 ,你好，我想请问一下，文科440能上贵校本科吗 ,你好，我想请问一下，文科440能上贵校本科吗                                                   ,根据去年录取情况来看，你这个分数没有问题的，大胆填报A志愿，可以关注公众号（广州科技职业技术大学）了解更多招生信息。                                     ,广东,2020
9 ,0 ,录取                     ,我刚好本科线410，高考考的是日语，排位216770如果我选择服从调剂，机会大不大                                ,填报我校A填报，比较稳，你看排位就了解可选择的学校不多，建议专科志愿认真填报。                                                        ,广东,2020
10,0 ,录取                     ,广东考生，文科431分，对贵校的商务英语专业很有兴趣，以我这样的分能被录取吗？志愿应该怎么填？                          ,填报我校A填报，比较稳，你看排位就了解可选择的学校不多，把想读的专业填第一，我们基本按学生第一专业录取。建议专科志愿认真填报。双保险。                            ,广东,2020
11,0 ,录取                     ,文科424有没有可能被贵校录取                                                          ,广东考生未到省线，先认真填报专科志愿，本科等看看补录的情况。                                                                 ,广东,2020
12,0 ,理科最低分数线是？              ,最低分数线是多少？                                                                ,请问你考了多少分，是咨询本科还是专科？可以加我们的扣扣群或者微信群，方便咨询，关注我们的公众号（广州科技职业技术大学）里面有群的二维码                            ,广西,2020
13,0 ,录取                     ,有专科吗，河南考生全省排名大概多少可以上                                                     ,河南有专科计划，请关注我校公众号，推文里有QQ群和微信群的二维码，加群方便咨询。                                                       ,河南,2020
14,0 ,录取                     ,广东430分可以上贵校吗？                                                            ,去年过线有录取，请问是文科还是理科，请关注我校公众号，推文里有QQ群和微信群的二维码，加群方便咨询。                                             ,广东,2020
15,0 ,分数录取                   ,请问我高考274的分数能够进入贵校专科吗                                                     ,可以的，请填报我校A志愿。                                                                                  ,广东,2020
