ID,标签,标题                                    ,问题                                                                                                                                                                     ,答案                                                                                                                                                                                                                                ,省份 ,年份
5 ,0 ,美术生有什么限制条件                            ,请问美术生报考有什么限制条件吗                                                                                                                                                        ,没有特别的限制                                                                                                                                                                                                                           ,湖北 ,2021
6 ,0 ,录取                                    ,新疆考生3800名有希望被贵校录取吗？                                                                                                                                                    ,可以考虑大胆冲报的。                                                                                                                                                                                                                        ,新疆 ,2021
7 ,0 ,报考                                    ,请问广东排3115可以报吗                                                                                                                                                          ,今年专业组多，可以大胆冲报。                                                                                                                                                                                                                    ,广东 ,2021
8 ,0 ,录取                                    ,河北物理14272能上贵校吗？贵校的电科，光电，物联网，网络空间安全怎么选最好                                                                                                                                ,建议结合个人兴趣填报专业，该名次有机会上暨大哦。                                                                                                                                                                                                          ,河北 ,2021
9 ,0 ,录取                                    ,请问番禺校区和深圳校区的商务英语专业除了学费上的不同外还有什么不同吗                                                                                                                                     ,办学地点不一样，都是一样的暨大文凭。                                                                                                                                                                                                                ,广东 ,2021
10,0 ,录取                                    ,广东省历史类考生排名多少可以报考贵校                                                                                                                                                     ,建议您参考往年排位，3500位以上都可以大胆冲报的                                                                                                                                                                                                         ,广东 ,2021
11,0 ,咨询                                    ,广东理科排名19431有机会入暨南大学吗                                                                                                                                                   ,今年分了专业组，可以大胆冲报哦。机会很大。                                                                                                                                                                                                             ,广东 ,2021
12,0 ,请向广东理科15503排位能进入贵校的什么专业？              ,请向广东理科15503排位能进入贵校的什么专业？                                                                                                                                               ,大部分专业都可以挑选了哦，尤其分了专业组后，有更大选择空间哦                                                                                                                                                                                                    ,广东 ,2021
13,0 ,河北                                    ,您好，贵校今天在河北普通类有招生计划吗                                                                                                                                                    ,有的，放在本科一批，可在我校网站浏览。                                                                                                                                                                                                               ,河北 ,2021
14,0 ,报考志愿                                  ,河南理科考生分数612位次18358，有希望上贵校吗？                                                                                                                                            ,可以考虑冲报哦，而且我校还有几个类别在河南招生，欢迎报考。                                                                                                                                                                                                     ,河南 ,2021
15,0 ,全英语教学                                 ,老师好，若报考了贵校，又被调剂到全英语教学的专业，但是由于家庭原因，无法支付学费，又不想通过绿色通道等途径，是否可以在开学前申请调到相同专业的非全英语教学？                                                                                         ,调剂是无条件的，虽然我们会尽力避免。                                                                                                                                                                                                                ,广东 ,2021
16,0 ,2021新疆理科位次2326能上暨南大学吗？谢谢了。            ,2021新疆理科，位次2326，能上暨南大学吗？谢谢了。                                                                                                                                           ,你好，平行志愿可以考虑大胆冲报的哦。                                                                                                                                                                                                                ,新疆 ,2021
17,0 ,老师您好！请问一下广东考生物理组的排名23290能进贵校报读        ,老师您好！请问一下广东考生物理组的排名23290能进贵校报读计算机科学与技术或者软件工程吗？谢谢🙏                                                                                                                     ,你好，按照往年来说机会不是特别大，但是平行志愿可以考虑尝试。                                                                                                                                                                                                    ,广东 ,2021
18,0 ,录取                                    ,广东历史类考生599排3388服从专业调剂，报考希望大嘛                                                                                                                                           ,可以报考的，服从调剂达到录取要求，是不退档的                                                                                                                                                                                                            ,广东 ,2021
19,0 ,报考                                    ,江苏考生物理类580分，位次17000，报考贵校新闻类和工商管理类有希望吗？报考贵校志愿有要求吗？需要第一志愿报考吗                                                                                                             ,这个排位报考成功几率不是特别大哦。考虑冲报可以                                                                                                                                                                                                           ,江苏 ,2021
5 ,0 ,报考                                    ,在国家专项计划和本科一批同时选择暨南大学会有什么冲突吗                                                                                                                                            ,没有冲突                                                                                                                                                                                                                              ,河南 ,2021
6 ,0 ,专业分数线                                 ,你好，请问咱们学校分数线最低的理工专业是哪一个？谢谢                                                                                                                                             ,具体您查看我校网站有公布的                                                                                                                                                                                                                     ,河南 ,2021
7 ,0 ,贵校的专业调剂是不是在对各省的招生计划内调剂？               ,贵校的专业调剂是不是在对各省的招生计划内调剂？                                                                                                                                                ,是的                                                                                                                                                                                                                                ,安徽 ,2021
8 ,0 ,重庆新高考平行志愿调档是按招生计划的多少调                 ,调档后会被退档吗                                                                                                                                                               ,服从调剂，达到要求，不会退                                                                                                                                                                                                                     ,重庆 ,2021
9 ,0 ,国家专项                                  ,河南国家专项分数线                                                                                                                                                              ,请查阅我办网站公布的往年数据                                                                                                                                                                                                                    ,河南 ,2021
