ID,标签,标题                              ,问题                                                                                                                                                                ,答案                                                                                                                                                                                                                                                                                 ,省份 ,年份
5 ,0 ,录取                              ,请问广东物理考生33200名有机会录取贵校计算机专业吗                                                                                                                                       ,有希望。                                                                                                                                                                                                                                                                               ,广东 ,2021
6 ,0 ,录取可能性                           ,老师你好，我是广东历史考生，排位一万九到两万，能冲吗                                                                                                                                        ,建议冲一冲。                                                                                                                                                                                                                                                                             ,广东 ,2021
7 ,0 ,提档比例，住宿条件，转专业政策                 ,学校的提档比例是多少，山东考生的平行志愿会不会退档学校的住宿条件新生住宿宿舍在哪，条件山东省建议多少位次考生填报转专业政策，双学位政策保研率                                                                                            ,1:1新生宿舍在过渡校区或校本部。                                                                                                                                                                                                                                                                  ,山东 ,2021
8 ,0 ,专业                              ,请问该校的住宿的条件怎么样，几人一个宿舍                                                                                                                                              ,学校的住宿4-8人间。具体宿舍环境可以在我们专刊进行查询。                                                                                                                                                                                                                                                      ,辽宁 ,2021
9 ,0 ,专业                              ,涉外法务英语特色班的法学与普通的法学有什么区别呢                                                                                                                                          ,主要是课程设置和教学重点会偏向。                                                                                                                                                                                                                                                                   ,广东 ,2021
10,0 ,专业                              ,请问贵校对报新闻学和国际新闻与传播有什么条件要求吗？或是对身高方面是否有建议？                                                                                                                           ,没有条件要求。                                                                                                                                                                                                                                                                            ,广东 ,2021
11,0 ,录取名次                            ,河南文科一批8893有可能吗                                                                                                                                                    ,有希望。                                                                                                                                                                                                                                                                               ,北京 ,2021
12,0 ,录取                              ,你好，广东考生，570分，物理，排位48650位，可以报考贵校吗？                                                                                                                                 ,可以。                                                                                                                                                                                                                                                                                ,广东 ,2021
13,0 ,地方专项                            ,请问汕头大学地方专项专业，与汕头大学的专业有什么不同？有区别吗？                                                                                                                                  ,针对的考生类别不同。                                                                                                                                                                                                                                                                         ,广东 ,2021
14,0 ,录取                              ,想知道深圳历史考生533分，想报考汕头大学有机会录取吗，想学设计，广告策划专业                                                                                                                           ,请问，排位是？                                                                                                                                                                                                                                                                            ,广东 ,2021
15,0 ,录取                              ,本人湖北考生首选物理585省排22919有国家专项由于历史数据无理科报考英语专业请问能报吗麻烦老师了                                                                                                                ,无招生计划没法报考。                                                                                                                                                                                                                                                                         ,湖北 ,2021
16,0 ,录取分数                            ,广东历史类565能进吗                                                                                                                                                       ,请问历史排位是？                                                                                                                                                                                                                                                                           ,广东 ,2021
17,0 ,海南考生，选考化生政，高考成绩加分后469           ,被录取率高吗？报考贵校有单科成绩限制吗？一年学费为多少？                                                                                                                                      ,你好！我校今年第一年在海南招生，无往年数据可以参考。建议大胆报考。学费收费标准在zs.stu.edu.cn查到。                                                                                                                                                                                                                           ,海南 ,2021
18,0 ,是否承诺进档不退                        ,老师您好！请问贵校今年在广东省内的招生承诺进档不退吗？                                                                                                                                       ,投档后，如果符合专业录取要求，进档不退档。                                                                                                                                                                                                                                                              ,广东 ,2021
19,0 ,我是一名海南考生高考加分后为469，有希望被贵校录取吗     ,我是一名海南考生高考加分后为469，有希望被贵校录取吗？                                                                                                                                      ,今年第一年在海南招生，建议第一志愿填报，服从专业调剂。                                                                                                                                                                                                                                                        ,海南 ,2021
5 ,0 ,地方专项                            ,新高考在不同专业组之间也可以转专业是吗？例如从医科转专业到新闻                                                                                                                                   ,符合学校转专业规定要求的，可以根据学校通知申请转专业。                                                                                                                                                                                                                                                        ,广东 ,2021
6 ,0 ,报考问题                            ,请问老师，海南考生524分，排名24590，能被法学或汉语言文学录取吗？谢谢！                                                                                                                           ,你好！我校今年第一年在海南招生，无法预估。建议你大胆填报。                                                                                                                                                                                                                                                      ,海南 ,2021
7 ,0 ,地方专项                            ,大一下学期可以在不同专业组转专业吗                                                                                                                                                 ,入校后如符合学校转专业要求的，可以根据学校通知申请转专业。                                                                                                                                                                                                                                                      ,广东 ,2021
8 ,0 ,美术类                             ,老师好，想问一下美术类综合分519排位3806有机会上贵校吗                                                                                                                                    ,建议冲一冲，服从专业调剂。后面填下其他院校。                                                                                                                                                                                                                                                             ,广东 ,2021
9 ,0 ,招生计划                            ,贵校今年在河北有小语种招生计划吗？如果有，有哪些科目？河北考生，物理组，578分，24508位有希望被录取吗？                                                                                                           ,你好！我校在河北有招生西班牙语。建议冲一冲。                                                                                                                                                                                                                                                             ,河北 ,2021
10,0 ,录取                              ,平行志愿，提档后会退档吗，山东填报志愿无服从调剂选项                                                                                                                                        ,你好！提档后如果身体符合录取要求，则提档不退档。                                                                                                                                                                                                                                                           ,山东 ,2021
11,0 ,地方专项                            ,您好！请问广东物理考生排位九万，超地方专项线24分，想冲刺贵校的地方专项名额，可行吗？谢谢！                                                                                                                    ,你好！地方专项每年的变化都比较大，建议大胆填报。                                                                                                                                                                                                                                                           ,广东 ,2021
12,0 ,咨询                              ,请问一下排位在29637可以被贵校的汉语言文学的地方专项录取的概率有多大                                                                                                                              ,您好！我校2020年文科录取最低排位是12000。建议你将汕大的历史类专业组填在第一位置，冲一冲                                                                                                                                                                                                                                   ,广东 ,2021
13,0 ,录取                              ,对专业没有要求，537分，85120名，有机会进汕大吗？                                                                                                                                      ,你好！我校2020年理科录取最低排位49000，供您参考！                                                                                                                                                                                                                                                      ,贵州 ,2021
14,0 ,机会                              ,本科生能有哪些比较好的增长阅历的机会吗？比如出国交换这些                                                                                                                                      ,你好！我校目前有和27个国家和地区103所高校签订了协议或备忘录，简历密切的学术交流合作关系，学生出国交流等的机会非常的多。                                                                                                                                                                                                                     ,河南 ,2021
15,0 ,退档问题                            ,您好，如果被贵校提档，考生选择专业服从，且身体条件符合，但未达到自己所选专业分数线，有没有可能被退档？                                                                                                               ,如果被提档，身体条件符合专业录取要求，且服从专业调剂。不退档。                                                                                                                                                                                                                                                    ,湖南 ,2021
16,0 ,招生简章                            ,为什么系统上找不到汕头大学医学院的招生简章的？                                                                                                                                           ,你好！医学院招生简章可以在医学院官网查询。                                                                                                                                                                                                                                                              ,广东 ,2021
17,0 ,录取可能性                           ,省排52000可以冲吗                                                                                                                                                       ,你好！可以的。                                                                                                                                                                                                                                                                            ,广东 ,2021
18,0 ,法学院                             ,广东文科排位10844贵校法学院稳吗法学院分配的宿舍情况如何                                                                                                                                    ,你好！这个排位根据近三年的录取情况来看，建议你服从专业调剂。法学院是安排在过渡校区住宿的。                                                                                                                                                                                                                                      ,广东 ,2021
19,0 ,高考咨询                            ,你好，想问问贵校的东海岸校区今年是否招收广东历史类考生？该校区有什么专业？                                                                                                                             ,你好！东海岸校区尚未启用。                                                                                                                                                                                                                                                                      ,广东 ,2021
5 ,0 ,录取，望老师回答                        ,河南理科考生，590分，省位次33462，超省分数线72分，能有幸被贵校医学系录取吗?可以报临床医学、口腔、眼科、基础医学哪个专业，医学系内服从调剂。                                                                                       ,你好！我校2020年理科最低排位是55000左右。按照你的排位，被录取机会很大。但是医学的专业每年都比较热门。                                                                                                                                                                                                                            ,河南 ,2021
6 ,0 ,录取                              ,您好！1.高校今年是否在海南招生？2.招生的话会开设哪些专业？3.在海南641分排名4913能否上贵校？                                                                                                              ,你好！我校今年在海南第一年招生，具体招生专业详见我校本科招生网zs.stu.edu.cn。由于是第一年招生，无法预估录取情况。建议你第一志愿报考。                                                                                                                                                                                                          ,海南 ,2021
7 ,0 ,录取                              ,湖南理科562能录取到贵校吗                                                                                                                                                    ,你好！2020年我校湖南理科最低排位在19000左右，供你参考。                                                                                                                                                                                                                                                   ,湖南 ,2021
8 ,0 ,志愿                              ,老师您好！我想咨询下，最后将选好的专业组进行志愿排序时（即哪个专业组放在第一志愿第二志愿等等），是按照这三年最低排位的平均值来排序志愿还是按照上一年最低排位来排序志愿呢？感谢老师！                                                                        ,建议参考近三年会比较好。                                                                                                                                                                                                                                                                       ,广东 ,2021
9 ,0 ,你好，我排位78530（物理考生），能否报贵校定向临床医学   ,你好，我排位78530（物理考生），能否报贵校定向临床医学                                                                                                                                     ,你好！可以报考，由于在提前批录取，临床医学定向的录取最低排位比较难以预估。                                                                                                                                                                                                                                              ,广东 ,2021
10,0 ,你好，我的排名是78530，能否报考贵校的临床医学       ,你好，我的排名是78530，能否报考贵校的临床医学                                                                                                                                         ,你好！这个排位无法报考。                                                                                                                                                                                                                                                                       ,广东 ,2021
11,0 ,报考                              ,560能冲贵校吗                                                                                                                                                          ,你好！请问排位是？我校2020年理科录取最低排位是49000.供您参考。                                                                                                                                                                                                                                               ,广东 ,2021
12,0 ,录取                              ,我是上海考生，排名在31200，有希望被录取吗？贵校是免学费吗？广州这边如果疫情严重，会影响开学吗                                                                                                                 ,你好！今年我校第一年在上海招生，录取分数无法预估，建议你第一志愿报考。目前我校实行本科学费全额奖励计划，2019-2022年所有入校的学生本科阶段学费全额奖励。目前暂时没有收到开学延期的通知。                                                                                                                                                                                   ,上海 ,2021
13,0 ,宿舍条件                            ,贵校理工类的宿舍条件如何，一个宿舍住几个人，宿舍和教室有空调吗                                                                                                                                   ,你好！我校今年新生将分别安排在过渡校区以及校本部，宿舍和教室都有空调。住宿分为4-8人间。                                                                                                                                                                                                                                      ,广东 ,2021
14,0 ,志愿填报                            ,请问贵校的志愿填报有专业级差吗？                                                                                                                                                  ,没哟。                                                                                                                                                                                                                                                                                ,安徽 ,2021
15,0 ,汕头大学医学院定向                       ,在韶关没有招生计划？                                                                                                                                                        ,你好！具体请查询专业目录。                                                                                                                                                                                                                                                                      ,广东 ,2021
16,0 ,录取                              ,您好四川文科考生585省排4006被贵校法学专业录取机率大吗？                                                                                                                                   ,你好！有机会被我校录取。建议服从专业调剂。法学专业的录取几率无法预估。                                                                                                                                                                                                                                                ,四川 ,2021
17,0 ,汕头大学定向医学生录取问题                   ,广东省理科生544分，计划报考定向，临床医学，请问录取的概率有多大                                                                                                                                 ,你好！建议直接咨询医学院招生办0754-88900467.                                                                                                                                                                                                                                                      ,广东 ,2021
18,0 ,退档                              ,如果勾选了服从调剂还会被退档吗                                                                                                                                                   ,你好！如果投档进入我校，符合专业录取要求，且服从专业调剂的，不退档。                                                                                                                                                                                                                                                 ,广东 ,2021
19,0 ,法学                              ,581分，排位38103，有多大几率被法学录取                                                                                                                                           ,你好！我校2020年文科录取最低排位在12000.供你参考。                                                                                                                                                                                                                                                     ,广东 ,2021
5 ,0 ,录取可能性                           ,广东省考生，历史类，分数557排位15287，能冲吗                                                                                                                                        ,你好！建议你将汕大填在第一志愿，服从专业调剂，冲一冲。后面再填其他院校。                                                                                                                                                                                                                                               ,广东 ,2021
6 ,0 ,专业要求                            ,园林专业是否需要在入学前具备一定的美术基础，一定的美术基础具体在什么程度？                                                                                                                             ,你好！我校没有园林专业。                                                                                                                                                                                                                                                                       ,湖南 ,2021
7 ,0 ,录取可能性                           ,你好，广东物理排名60573，分数558，录取可能性大吗                                                                                                                                      ,你好！建议你将汕大填在第一位，冲一冲。                                                                                                                                                                                                                                                                ,广东 ,2021
8 ,0 ,专业                              ,请问计算机科学与技术这个专业，在辽宁的位次，或分数，该专业数学和物理学科要求的高吗                                                                                                                         ,你好！我校今年第一次在辽宁招生，暂无法预估录取排位。                                                                                                                                                                                                                                                         ,辽宁 ,2021
9 ,0 ,录取                              ,物理类的省排位7万9千多可以冲一下贵校吗                                                                                                                                              ,你好！我校2020年理科录取最低排位是49000.供您参考。                                                                                                                                                                                                                                                     ,广东 ,2021
10,0 ,录取                              ,湖北考生597，位次17186—17580，录取可能性大吗？                                                                                                                                    ,录取机会比较大，建议第一志愿填报，并服从专业调剂。                                                                                                                                                                                                                                                          ,湖北 ,2021
11,0 ,录取                              ,广东历史考生排名4万9百，如果报贵校医学院的护理学，录取率大吗？                                                                                                                                  ,你好！今年护理学历史类在广东省计划招生16人。且往年在提前批录取，无法预估准确排位。                                                                                                                                                                                                                                         ,广东 ,2021
12,0 ,地方专项                            ,请问地方专项报考贵校是否有特定的专业报考？如果有，请问有什么专业？需要怎样填报？                                                                                                                          ,你好！地方专项的招生专业在招生专业录取中已进行了标注。或可登陆我校招生信息网zs.stu.edu.cn查询。                                                                                                                                                                                                                             ,广东 ,2021
13,0 ,关于转专业                           ,请问转专业对成绩有什么要求？有什么限制条件吗？成功概率大概是多少？谢谢                                                                                                                               ,你好！各个专业的转专业要求主要以成绩考核为主。                                                                                                                                                                                                                                                            ,广东 ,2021
14,0 ,上海考生                            ,在您学校网站查不到上海历年录取分数，该如何填报？位次在20819                                                                                                                                  ,你好！我校今年第一次在上海招生，因此无法查询到往年录取情况。建议第一志愿填报。                                                                                                                                                                                                                                            ,上海 ,2021
