ID,标签,问题,答案
0,0,请问贵校录取控制分数线是多少是1:1.2投档吗投档后会被退档吗,亲爱的考生：您好！实行平行志愿省份，原则上按照1:1进行投档。对于出档到我校的考生，如服从专业调剂，体检合格，符合有关录取规定，我校承诺录取。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
1,0,请问贵校在湖南是一本招生吗,亲爱的考生：您好！湖南省自2021年合并了本科批次，我校在普通本科批次录取。分一本、二本的省份，我校均在一本批次招生。如有其他疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
2,0,贵校今年在河北有小语种招生计划吗？如果有，有哪些科目？河北考生，物理组，578分，24508位有希望被录取吗？,亲爱的考生：您好！我校2021年暂不在河北招生。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
3,0,您好，我是辽宁考生，省排名20252，报考贵校机械工程及其自动化的概率大吗？谢谢。,亲爱的考生：您好！可参考我校在辽宁历年录取数据进行判断。https://zs.sztu.edu.cn/bkzn/lnlq1.htm感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
4,0,您好，我是辽宁考生，省排名20252，报考贵校电气工程及其自动化的概率大吗？谢谢。,亲爱的考生：您好！可参考我校在辽宁历年录取数据进行判断。https://zs.sztu.edu.cn/bkzn/lnlq1.htm感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
5,0,请问广东考生分数565，排名5.3w能进入贵校么,亲爱的考生：您好！可参考我校在广东历年录取数据进行判断。https://zs.sztu.edu.cn/bkzn/lnlq1.htm感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
6,0,请问贵校对深圳考生有优惠政策吗,亲爱的考生：您好！我校省内招生计划面向广东全省考生。感谢对我校的关注！深圳技术大学招生办公室
7,0,江西考生546分30917位，有希望进吗？,亲爱的考生： 您好！我校首年面向江西招生，无历史录取数据参考。感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
8,0,我是江西理科546，排位30917可以读微电子科学与工程吗,亲爱的考生：您好！我校首年面向江西招生，无历史录取数据参考。感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
9,0,河南589分34千名，报贵校有希望吗？学校可以转专业吗?有什么规定？谢谢,亲爱的考生：您好！可参考我校在河南历年录取的数据进行判断。https://zs.sztu.edu.cn/bkzn/lnlq1.htm我校转专业政策相对宽松，不限制转出，在资源满足的情况下不限制转入。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
10,0,老师您好！请问贵校在转专业和辅修方面有没有什么要求,亲爱的考生：您好！我校转专业政策相对宽松，不限制转出，在资源满足的情况下不限制转入，允许学生辅修课程。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
11,0,如果勾选了服从调剂还会被高校退档吗,亲爱的考生：您好！实行平行志愿省份，对于出档到我校的考生，如服从专业调剂，体检合格，符合有关录取规定，我校承诺录取。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
12,0,请问贵校建筑比如教学楼，食堂，体育馆，图书馆，宿舍等建设情况如何？条件如何？,亲爱的考生：您好！我校一期校园于2021年6月分批交付使用，软硬件条件优良。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
